time_milisec,gx,gy,gz
1421109976242.00,-0.040502686,-0.054358847,0.018119348
1421109976265.00,-0.004263721,-0.061819427,-0.004263721
1421109976275.00,0.03943609,-0.019185679,0.007460579
1421109976295.00,0.014921425,-0.015988022,0.040501885
1421109976315.00,0.029843649,-0.015988022,0.053291984
1421109976336.00,0.070345536,-0.015988022,0.045831405
1421109976356.00,0.045831405,-0.035173167,0.031975243
1421109976375.00,0.013855628,-0.045831937,0.022382537
1421109976395.00,0.020250943,-0.046897735,-0.002132127
1421109976415.00,0.063950755,-0.003197924,0.005328985
1421109976436.00,0.05116039,0.00959244,0.03410684
1421109976456.00,0.020250943,0.008526376,0.01705302
1421109976476.00,0.00959244,0.002131594,-0.007461112
1421109976495.00,-0.003197924,-0.007461112,-0.008526909
1421109976515.00,-0.049029328,-0.039436888,0.005328985
1421109976535.00,-0.013856427,-0.02238307,0.02557993
1421109976556.00,0.036238696,0.003197391,0.00959244
1421109976575.00,0.09272861,0.008526376,-0.021317273
1421109976595.00,0.07674085,-0.026646258,-0.005329518
1421109976615.00,0.018119348,-0.04476614,0.024514131
1421109976635.00,0.01705302,-0.005329518,0.030909447
1421109976655.00,0.07780665,0.007460579,0.03304104
1421109976675.00,0.10338711,-0.003197924,0.020250943
1421109976696.00,0.045831405,0.00959244,0.00959244
1421109976715.00,-0.003197924,0.002131594,0.036238696
1421109976735.00,0.014921425,-0.006395315,0.03304104
1421109976755.00,0.056489907,0.006394783,-0.021317273
1421109976775.00,0.023448335,0.004263188,-0.054358847
1421109976796.00,0.029843649,0.012789832,-0.033041574
1421109976815.00,0.063950755,0.035172634,0.003197391
1421109976835.00,0.05116039,0.05116039,-0.011724833
1421109976855.00,-0.002132127,0.024514131,-0.03090998
1421109976875.00,-0.013856427,-0.011724833,-0.008526909
1421109976896.00,0.03410684,0.006394783,-0.002132127
1421109976916.00,0.07887244,0.03410684,-0.034107372
1421109976936.00,0.019185146,0.002131594,-0.029844182
1421109976956.00,-0.049029328,-0.007461112,-0.003197924
1421109976976.00,-0.024514664,-0.005329518,-0.008526909
1421109976997.00,0.014921425,-0.025580462,-0.020251475
1421109977016.00,0.020250943,-0.041568484,-0.008526909
1421109977037.00,0.014921425,-0.023448868,-0.015988022
1421109977057.00,-0.02238307,-0.005329518,-0.008526909
1421109977076.00,-0.06501735,-0.004263721,0.02131674
1421109977096.00,-0.006395315,0.052226186,0.041567683
1421109977116.00,0.052226186,0.040501885,0.071411334
1421109977136.00,0.045831405,-0.031975776,0.09272861
1421109977156.00,0.003197391,-0.028778385,0.08526776
1421109977177.00,-0.020251475,0.01705302,0.07460926
1421109977196.00,-0.019185679,0.03943609,0.075675055
1421109977216.00,-0.031975776,0.014921425,0.06714814
1421109977236.00,-0.04796353,-0.036239497,0.040501885
1421109977256.00,-0.049029328,-0.0724782,0.018119348
1421109977276.00,-0.021317273,-0.04263428,0.006394783
1421109977307.00,0.019185146,0.020250943,-0.010659036
1421109977319.00,0.027712055,0.012789832,-0.003197924
1421109977335.00,-0.01811988,-0.03837109,0.007460579
1421109977355.00,-0.05542464,-0.069280535,0.015987223
1421109977375.00,-0.029844182,0.005328985,0.038370293
1421109977395.00,0.036238696,0.07887244,0.06288496
1421109977415.00,0.054358315,0.06821394,0.058621503
1421109977436.00,-0.005329518,-0.00106633,0.04369928
1421109977456.00,-0.075675584,-0.020251475,0.03304104
1421109977478.00,-0.067148946,0.003197391,0.029843649
1421109977497.00,-0.025580462,0.061818894,0.024514131
1421109977517.00,-0.024514664,0.058621503,0.00959244
1421109977537.00,-0.05649044,-0.007461112,-0.017053818
1421109977556.00,-0.06501735,-0.046897735,-0.045831937
1421109977576.00,-0.050095126,-0.04476614,-0.053292517
1421109977597.00,-0.029844182,-0.028778385,-0.046897735
1421109977617.00,0.014921425,0.004263188,-0.033041574
1421109977636.00,0.014921425,-0.015988022,-0.013856427
1421109977656.00,0.005328985,-0.06075363,-0.020251475
1421109977676.00,0.024514131,-0.062885754,-0.041568484
1421109977696.00,0.04263348,-0.033041574,-0.043700077
1421109977716.00,0.041567683,-0.025580462,-0.03837109
1421109977736.00,0.05542411,-0.024514664,-0.033041574
1421109977756.00,0.05542411,-0.027712587,-0.03090998
1421109977778.00,0.037304495,-0.029844182,-0.035173167
1421109977797.00,0.03410684,-0.017053818,-0.034107372
1421109977817.00,0.038370293,0.005328985,-0.024514664
1421109977836.00,0.018119348,0.006394783,-0.033041574
1421109977856.00,0.010658237,-0.008526909,-0.05649044
1421109977876.00,0.006394783,-0.01811988,-0.049029328
1421109977897.00,-0.004263721,-0.004263721,-0.034107372
1421109977916.00,0,0.023448335,-0.026646258
1421109977936.00,0.001065797,0.029843649,-0.01279063
1421109977956.00,-0.003197924,0.03304104,-0.011724833
1421109977977.00,0.015987223,0.035172634,-0.037305295
1421109977996.00,0.026645726,-0.003197924,-0.024514664
1421109978016.00,0.027712055,-0.009593239,0.001065797
1421109978036.00,0.020250943,0.004263188,0.014921425
1421109978057.00,0.020250943,0.013855628,0.006394783
1421109978079.00,0.013855628,0.007460579,-0.003197924
1421109978095.00,0.012789832,-0.010659036,-0.006395315
1421109978124.00,0.019185146,-0.021317273,-0.009593239
1421109978145.00,0.018119348,-0.006395315,-0.035173167
1421109978156.00,0.002131594,0.00959244,-0.039436888
1421109978175.00,-0.011724833,-0.020251475,-0.015988022
1421109978195.00,0,-0.020251475,-0.024514664
1421109978215.00,0.020250943,0.014921425,-0.029844182
1421109978238.00,-0.006395315,0.010658237,0.005328985
1421109978256.00,-0.005329518,0.008526376,0.013855628
1421109978275.00,0.014921425,-0.008526909,-0.007461112
1421109978297.00,-0.006395315,-0.014922224,-0.014922224
1421109978316.00,-0.014922224,0.00959244,0.001065797
1421109978356.00,0.014921425,0.012789832,0.010658237
1421109978366.00,0.038370293,0.005328985,0.002131594
1421109978378.00,0.015987223,0.001065797,0.005328985
1421109978444.00,0.006394783,0.01705302,0.00959244
1421109978444.00,0.007460579,0.028777853,0.008526376
1421109978445.00,-0.003197924,0.008526376,0.001065797
1421109978461.00,-0.004263721,0.007460579,-0.010659036
1421109978499.00,0.023448335,0.031975243,-0.014922224
1421109978500.00,0.019185146,0.035172634,-0.004263721
1421109978534.00,0.001065797,0.023448335,0.001065797
1421109978537.00,0.003197391,0.005328985,-0.004263721
1421109978582.00,0.023448335,0.004263188,-0.013856427
1421109978582.00,0.026645726,0.007460579,-0.011724833
1421109978622.00,0.020250943,0.008526376,-0.005329518
1421109978623.00,0.023448335,0.014921425,-0.010659036
1421109978636.00,0.044765607,0.029843649,-0.028778385
1421109978665.00,0.059687298,0.054358315,-0.049029328
1421109978675.00,0.06608235,0.07887244,-0.053292517
1421109978698.00,0.05116039,0.06288496,-0.05222672
1421109978715.00,0.035172634,0.031975243,-0.069280535
1421109978736.00,0.04369928,0.028777853,-0.10978296
1421109978755.00,0.056489907,0.058621503,-0.13749501
1421109978781.00,0.046897203,0.059687298,-0.105519235
1421109978798.00,0.06821394,0.05116039,-0.0724782
1421109978815.00,0.14602113,0.09912392,-0.09699259
1421109978856.00,0.16307494,0.12683597,-0.13429762
1421109978857.00,0.07993824,0.05542411,-0.1406924
1421109978875.00,0.006394783,-0.031975776,-0.11511194
1421109978895.00,0.014921425,-0.04796353,-0.094861
1421109978933.00,0.10978243,0.03304104,-0.07780718
1421109978935.00,0.22276224,0.14069188,-0.061819427
1421109978955.00,0.24834271,0.16200915,-0.07034633
1421109978976.00,0.14602113,0.04263348,-0.08633409
1421109978995.00,0.06288496,-0.06075363,-0.09805839
1421109979015.00,0.024514131,-0.036239497,-0.10338764
1421109979039.00,-0.07141213,0.012789832,0.006394783
1421109979062.00,0.13749447,0.004263188,0.008526376
1421109979076.00,0.00959244,0.023448335,0.026645726
1421109979112.00,-0.11404615,-0.002132127,0.1065845
1421109979116.00,-0.040502686,0.002131594,0.13323076
1421109979136.00,0.037304495,0.057555705,0.101255514
1421109979156.00,-0.004263721,0.07247766,0.0948602
1421109979177.00,-0.054358847,0.037304495,0.13749447
1421109979195.00,-0.02238307,0.02131674,0.15348223
1421109979215.00,0.011724034,0.022382537,0.13003337
1421109979236.00,0.001065797,0.035172634,0.11191402
1421109979255.00,-0.008526909,0.06927974,0.082070366
1421109979276.00,-0.003197924,0.041567683,0.063950755
1421109979295.00,-0.015988022,0.003197391,0.082070366
1421109979316.00,-0.053292517,-0.007461112,0.11617721
1421109979339.00,-0.053292517,0.015987223,0.13856028
1421109979357.00,-0.027712587,0.004263188,0.13216496
1421109979375.00,-0.03837109,-0.033041574,0.09912392
1421109979396.00,-0.10658503,-0.11298035,0.112979814
1421109979416.00,-0.10445344,-0.11298035,0.13962607
1421109979435.00,0.046897203,-0.003197924,0.15241644
1421109979456.00,0.13109916,0.054358315,0.14495532
1421109979477.00,0.038370293,-0.021317273,0.13749447
1421109979496.00,-0.053292517,-0.12044146,0.119374864
1421109979516.00,-0.04476614,-0.10658503,0.08953121
1421109979536.00,0.02557993,-0.031975776,0.06288496
1421109979556.00,0.08633356,0.049028795,0.057555705
1421109979576.00,0.040501885,0.056489907,0.038370293
1421109979598.00,-0.021317273,-0.019185679,0.044765607
1421109979616.00,-0.02238307,-0.0724782,0.028777853
1421109979636.00,0.026645726,-0.04476614,-0.007461112
1421109979657.00,0.031975243,0.014921425,-0.011724833
1421109979677.00,0.004263188,-0.002132127,0.003197391
1421109979697.00,-0.028778385,-0.04263428,-0.041568484
1421109979716.00,-0.041568484,-0.0852683,-0.10338764
1421109979735.00,-0.062885754,-0.099124454,-0.122573055
1421109979755.00,0,0.015987223,-0.08846568
1421109979775.00,0.06608235,0.082070366,-0.04476614
1421109979797.00,0.026645726,0.026645726,-0.04263428
1421109979817.00,-0.036239497,-0.05649044,-0.07780718
1421109979836.00,-0.051160924,-0.067148946,-0.09059781
1421109979855.00,-0.020251475,-0.024514664,-0.053292517
1421109979876.00,0.008526376,0.027712055,-0.02238307
1421109979901.00,-0.014922224,0.018119348,-0.01811988
1421109979915.00,-0.040502686,0.002131594,-0.013856427
1421109979935.00,-0.00106633,0.03304104,0.006394783
1421109979955.00,0.05542411,0.07887244,0.010658237
1421109979976.00,0.010658237,0.03943609,0.003197391
1421109979995.00,-0.069280535,-0.05222672,-0.00106633
1421109980016.00,-0.036239497,-0.03837109,0.002131594
1421109980036.00,0.047962997,0.024514131,0.022382537
1421109980058.00,0.06821394,0.038370293,0.02131674
1421109980079.00,0.003197391,-0.00106633,0.007460579
1421109980097.00,-0.074609786,-0.062885754,-0.009593239
1421109980116.00,-0.092729405,-0.087399885,-0.017053818
1421109980149.00,0.19824784,0.26326466,-0.049029328
1421109980163.00,0.10978243,0.16733813,0.07780665
1421109980176.00,-0.20357762,-0.18865593,0.045831405
1421109980210.00,-0.2280923,-0.1513509,-0.041568484
1421109980246.00,-0.028778385,-0.013856427,-0.036239497
1421109980247.00,0.10445291,0.088465154,0.03410684
1421109980299.00,0.0948602,0.11191402,0.054358315
1421109980300.00,-0.020251475,0.02557993,0.030909447
1421109980301.00,-0.043700077,-0.053292517,-0.004263721
1421109980339.00,0.008526376,-0.01279063,-0.02238307
1421109980340.00,0.046897203,0.056489907,0.006394783
1421109980372.00,0.035172634,0.058621503,0.047962997
1421109980394.00,-0.003197924,0.00959244,0.03304104
1421109980395.00,-0.015988022,-0.04263428,-0.004263721
1421109980427.00,0.005328985,-0.026646258,-0.014922224
1421109980436.00,0.028777853,0.019185146,0.001065797
1421109980463.00,0.027712055,0.037304495,0.020250943
1421109980497.00,0.022382537,0.014921425,0.019185146
1421109980498.00,0.004263188,0.00959244,0.00959244
