time_milisec,gx,gy,gz
1421631472997.00,0.036238696,0.07354346,0.087399356
1421631473016.00,0.022382537,0.031975243,0.08526776
1421631473027.00,-0.036239497,-0.07780718,0.06821394
1421631473047.00,-0.061819427,-0.11937566,0.06927974
1421631473066.00,-0.028778385,-0.061819427,0.09272861
1421631473086.00,0.024514131,0.037304495,0.13429682
1421631473109.00,0.05542411,0.05116039,0.14388953
1421631473128.00,-0.010659036,-0.01279063,0.12150646
1421631473146.00,-0.07993878,-0.051160924,0.10445291
1421631473167.00,-0.062885754,-0.026646258,0.10445291
1421631473187.00,0.003197391,0.018119348,0.10871663
1421631473207.00,0.024514131,0.027712055,0.11084822
1421631473228.00,-0.03090998,0.00959244,0.118309066
1421631473247.00,-0.09059781,-0.014922224,0.10765083
1421631473266.00,-0.07887298,0.001065797,0.1065845
1421631473287.00,-0.017053818,0.027712055,0.105518706
1421631473307.00,0.004263188,0.029843649,0.07780665
1421631473328.00,-0.034107372,-0.002132127,0.044765607
1421631473347.00,-0.0937952,-0.034107372,0.035172634
1421631473366.00,-0.06608315,-0.031975776,0.024514131
1421631473387.00,0.003197391,0.005328985,-0.011724833
1421631473406.00,0.008526376,0.04369928,-0.014922224
1421631473426.00,-0.007461112,0.06821394,0.002131594
1421631473447.00,-0.010659036,0.049028795,-0.005329518
1421631473466.00,-0.007461112,-0.003197924,-0.015988022
1421631473486.00,0.010658237,0,-0.011724833
1421631473507.00,0.014921425,0.04369928,0.029843649
1421631473526.00,0.013855628,0.09272861,0.060753096
1421631473546.00,0.004263188,0.10338711,0.06288496
1421631473569.00,-0.029844182,0.07993824,0.03304104
1421631473587.00,-0.05968783,0.063950755,0.00959244
1421631473606.00,-0.034107372,0.070345536,0.012789832
1421631473626.00,0.02557993,0.093794405,0.01705302
1421631473646.00,0.04263348,0.09059701,-0.005329518
1421631473669.00,-0.007461112,0.03304104,-0.027712587
1421631473689.00,-0.04263428,-0.003197924,-0.041568484
1421631473709.00,-0.01279063,0.02557993,-0.04796353
1421631473729.00,0.026645726,0.05542411,-0.04476614
1421631473749.00,0.015987223,0.050094593,-0.029844182
1421631473770.00,-0.01811988,0.022382537,-0.024514664
1421631473789.00,-0.02238307,0.001065797,-0.020251475
1421631473809.00,-0.00106633,0.03410684,-0.017053818
1421631473829.00,0.03304104,0.07354346,0.003197391
1421631473849.00,0.041567683,0.06714814,0.007460579
1421631473869.00,0.00959244,0.004263188,-0.00106633
1421631473889.00,-0.011724833,-0.039436888,-0.003197924
1421631473909.00,0.019185146,0.019185146,0.006394783
1421631473929.00,0.059687298,0.07674085,0.020250943
1421631473948.00,0.03943609,0.050094593,0.00959244
1421631473969.00,-0.00106633,-0.017053818,-0.023448868
1421631473988.00,0.001065797,-0.057556238,-0.03090998
1421631474009.00,0.006394783,-0.031975776,-0.014922224
1421631474028.00,0.00959244,0.014921425,0.007460579
1421631474048.00,0.012789832,0.010658237,0.011724034
1421631474070.00,-0.011724833,-0.026646258,-0.005329518
1421631474089.00,-0.024514664,-0.05968783,-0.003197924
1421631474109.00,0.007460579,-0.025580462,-0.010659036
1421631474128.00,0.030909447,0.01705302,-0.004263721
1421631474148.00,0.007460579,0.024514131,0.019185146
1421631474169.00,0.007460579,0.014921425,0.024514131
1421631474189.00,0.014921425,0.026645726,0.012789832
1421631474209.00,-0.014922224,0.00959244,0.008526376
1421631474229.00,-0.023448868,-0.010659036,0.005328985
1421631474249.00,0.003197391,-0.003197924,0.011724034
1421631474269.00,0.008526376,0.022382537,0.019185146
1421631474289.00,-0.017053818,0.026645726,0.02557993
1421631474309.00,-0.01279063,0.008526376,0.00959244
1421631474329.00,0.011724034,0.002131594,-0.007461112
1421631474350.00,0.015987223,0.004263188,-0.002132127
1421631474368.00,-0.002132127,0.003197391,0.001065797
1421631474387.00,0.002131594,-0.003197924,0.012789832
1421631474406.00,0.018119348,0.015987223,0.014921425
1421631474426.00,0.020250943,0.041567683,0.007460579
1421631474446.00,0.019185146,0.03410684,0.006394783
1421631474466.00,0.013855628,0.002131594,0.005328985
1421631474486.00,-0.002132127,-0.013856427,0.005328985
1421631474506.00,-0.007461112,-0.007461112,0.008526376
1421631474526.00,0.014921425,0.007460579,0.019185146
1421631474549.00,0.029843649,0.020250943,0.013855628
1421631474568.00,0.008526376,-0.003197924,0.018119348
1421631474590.00,-0.007461112,-0.009593239,0.023448335
1421631474608.00,0.010658237,-0.004263721,0.035172634
1421631474628.00,0.037304495,0.020250943,0.026645726
1421631474649.00,0.010658237,0.01705302,0.020250943
1421631474668.00,-0.019185679,-0.002132127,0.023448335
1421631474689.00,-0.014922224,-0.008526909,0.019185146
1421631474709.00,-0.015988022,0.002131594,0.018119348
1421631474729.00,-0.007461112,0.01705302,0.02131674
1421631474749.00,0.011724034,0.024514131,0.015987223
1421631474768.00,0.010658237,0.020250943,0.01705302
1421631474789.00,-0.011724833,-0.005329518,0.019185146
1421631474809.00,-0.011724833,-0.015988022,0.014921425
1421631474831.00,0.014921425,0.003197391,0.003197391
1421631474850.00,0.01705302,0.010658237,0
1421631474877.00,0.004263188,0.004263188,-0.005329518
1421631474888.00,0.002131594,0,-0.019185679
1421631474907.00,-0.005329518,-0.004263721,-0.021317273
1421631474926.00,-0.005329518,0.008526376,-0.026646258
1421631474946.00,-0.004263721,0.006394783,-0.031975776
1421631474970.00,-0.020251475,-0.004263721,-0.02238307
1421631474992.00,-0.037305295,0.01705302,-0.009593239
1421631475012.00,-0.029844182,0.027712055,-0.002132127
1421631475031.00,0.013855628,0.001065797,-0.010659036
1421631475048.00,0.02557993,-0.031975776,-0.024514664
1421631475069.00,-0.005329518,-0.025580462,-0.028778385
1421631475088.00,-0.021317273,-0.003197924,-0.00106633
1421631475112.00,0,0.00959244,-0.006395315
1421631475131.00,0.012789832,0,-0.033041574
1421631475149.00,-0.01279063,-0.017053818,-0.026646258
1421631475168.00,-0.023448868,-0.021317273,-0.015988022
1421631475189.00,0.036238696,0,-0.01811988
1421631475208.00,0.044765607,0.006394783,-0.009593239
1421631475228.00,-0.010659036,-0.004263721,0.004263188
1421631475247.00,-0.039436888,-0.004263721,0.004263188
1421631475266.00,-0.007461112,0.015987223,0.004263188
1421631475287.00,0.012789832,0.05116039,0.004263188
1421631475306.00,0.00959244,0.03410684,-0.002132127
1421631475326.00,0.011724034,-0.014922224,-0.017053818
1421631475349.00,0.004263188,-0.033041574,-0.026646258
1421631475369.00,0,-0.004263721,-0.013856427
1421631475386.00,0.010658237,0.012789832,0.00959244
1421631475408.00,0.023448335,0.013855628,-0.006395315
1421631475475.00,0.026645726,-0.006395315,-0.01279063
1421631475476.00,0.013855628,-0.007461112,0.001065797
1421631475476.00,0.010658237,0.00959244,0.007460579
1421631475548.00,0,0.006394783,0.001065797
1421631475548.00,-0.004263721,-0.005329518,-0.01279063
1421631475549.00,0,-0.014922224,-0.01279063
1421631475549.00,0.008526376,-0.005329518,-0.009593239
1421631475570.00,0.018119348,-0.01279063,-0.006395315
1421631475638.00,0.014921425,-0.008526909,-0.017053818
1421631475639.00,0.00959244,-0.006395315,-0.019185679
1421631475639.00,0.012789832,-0.006395315,-0.014922224
1421631475676.00,0.022382537,0.002131594,-0.005329518
1421631475677.00,0.041567683,0.005328985,0.001065797
1421631475691.00,0.041567683,-0.004263721,0.006394783
1421631475741.00,0.03943609,-0.005329518,0.004263188
1421631475741.00,0.049028795,0.018119348,-0.010659036
1421631475746.00,0.047962997,0.026645726,-0.02238307
1421631475773.00,0.026645726,0.018119348,-0.04796353
1421631475834.00,0.012789832,0.002131594,-0.07034633
1421631475834.00,0.026645726,-0.002132127,-0.09699259
1421631475835.00,0.045831405,-0.004263721,-0.13429762
1421631475848.00,0.038370293,-0.021317273,-0.15028511
1421631475907.00,0.046897203,-0.01811988,-0.15987755
1421631475908.00,0.050094593,-0.007461112,-0.16947025
1421631475908.00,0.01705302,-0.036239497,-0.16733865
1421631475928.00,0.01705302,-0.057556238,-0.18119483
1421631475975.00,0.09166281,-0.011724833,-0.18332642
1421631475976.00,0.1801285,0.053291984,-0.17586558
1421631476022.00,0.08526776,-0.024514664,-0.17266817
1421631476022.00,0.013855628,-0.122573055,-0.17373398
1421631476069.00,0.035172634,-0.11191455,-0.16414127
1421631476070.00,0.09805759,-0.002132127,-0.122573055
1421631476070.00,0.17053579,0.093794405,-0.062885754
1421631476123.00,0.12790178,0.06927974,-0.031975776
1421631476124.00,0.061818894,-0.04476614,-0.046897735
1421631476157.00,-0.4615133,-0.046897735,0.056489907
1421631476160.00,-0.024514664,-0.110848755,0.03943609
1421631476171.00,0.24407952,0.035172634,-0.037305295
1421631476223.00,0.037304495,0.14602113,0.12150646
1421631476228.00,-0.07034633,0.031975243,0.1918528
1421631476229.00,-0.04263428,-0.061819427,0.0948602
1421631476280.00,-0.04796353,-0.07674138,0.09059701
1421631476281.00,-0.074609786,0.02131674,0.17266738
1421631476337.00,-0.007461112,0.0948602,0.18439168
1421631476338.00,0.037304495,0.06608235,0.13856028
1421631476338.00,-0.040502686,-0.013856427,0.12790178
1421631476392.00,-0.13429762,-0.046897735,0.13429682
1421631476392.00,-0.11724407,-0.031975776,0.13429682
1421631476393.00,-0.045831937,0.004263188,0.13109916
1421631476437.00,0.013855628,0.038370293,0.14069188
1421631476437.00,-0.024514664,0.027712055,0.12257226
1421631476509.00,-0.09699259,-0.034107372,0.0948602
1421631476510.00,-0.10658503,-0.11937566,0.060753096
1421631476510.00,-0.11191455,-0.15028511,0.046897203
1421631476511.00,-0.073543996,-0.12150726,0.046897203
1421631476531.00,-0.0937952,-0.12470465,0.05116039
1421631476546.00,-0.14921932,-0.142824,0.044765607
1421631476567.00,-0.06501735,-0.0724782,0.03943609
1421631476586.00,0.088465154,0.019185146,0.02131674
1421631476607.00,0.093794405,-0.002132127,0.001065797
1421631476626.00,-0.002132127,-0.0959268,-0.036239497
1421631476646.00,-0.050095126,-0.14602192,-0.08953201
1421631476666.00,-0.020251475,-0.08953201,-0.10232185
1421631476688.00,0.04369928,0.01705302,-0.087399885
1421631476708.00,0.052226186,0.038370293,-0.10019025
1421631476728.00,0.019185146,-0.024514664,-0.11511194
1421631476747.00,-0.014922224,-0.0820709,-0.11937566
1421631476766.00,-0.007461112,-0.09059781,-0.1396266
1421631476786.00,0.00959244,-0.062885754,-0.15454857
1421631476806.00,0.008526376,-0.027712587,-0.14389032
1421631476825.00,0.006394783,-0.002132127,-0.1406924
1421631476846.00,-0.007461112,-0.050095126,-0.13642922
1421631476866.00,-0.043700077,-0.09805839,-0.1332313
1421631476888.00,0.3773108,0.39116642,-0.14602192
1421631476911.00,0.20784055,0.2685939,0.06714814
1421631476930.00,-0.24194846,-0.10871716,0.01705302
1421631476949.00,-0.44659135,-0.41035238,-0.13856082
1421631476977.00,-0.19505072,-0.23768473,-0.1310997
1421631476997.00,0.16307494,0.0948602,0.010658237
1421631477011.00,0.27179158,0.25793514,0.071411334
1421631477032.00,0.06608235,0.09699179,0.057555705
1421631477046.00,-0.18332642,-0.13216549,0.020250943
1421631477067.00,-0.19291912,-0.1513509,0.023448335
1421631477087.00,0.002131594,0.044765607,0.06714814
1421631477111.00,0.16627233,0.19398439,0.08633356
1421631477129.00,0.11404561,0.12470385,0.061818894
1421631477148.00,-0.035173167,-0.039436888,0.02131674
1421631477166.00,-0.0724782,-0.09699259,-0.006395315
1421631477187.00,-0.009593239,-0.007461112,0.006394783
1421631477206.00,0.08526776,0.08633356,0.04263348
1421631477228.00,0.07887244,0.095925994,0.05542411
1421631477246.00,-0.024514664,0.011724034,0.070345536
1421631477267.00,-0.07141213,-0.04476614,0.059687298
1421631477287.00,-0.04476614,-0.011724833,0.06714814
1421631477306.00,0.01705302,0.05542411,0.082070366
1421631477327.00,0.04263348,0.071411334,0.06501655
1421631477348.00,0.013855628,0.024514131,0.036238696
1421631477370.00,-0.051160924,-0.036239497,0.018119348
1421631477386.00,-0.028778385,-0.036239497,0
1421631477407.00,0.047962997,0.018119348,-0.003197924
1421631477426.00,0.075675055,0.04369928,0.020250943
1421631477446.00,0.029843649,0.018119348,0.024514131
1421631477467.00,-0.01811988,-0.019185679,0.002131594
1421631477487.00,-0.011724833,-0.021317273,-0.005329518
1421631477506.00,0.061818894,0.02557993,0.013855628
1421631477526.00,0.08633356,0.06714814,-0.002132127
1421631477547.00,0.031975243,0.007460579,-0.026646258
1421631477566.00,-0.039436888,-0.0820709,-0.039436888
1421631477587.00,-0.033041574,-0.07034633,-0.023448868
1421631477608.00,0.06501655,0.022382537,-0.009593239
1421631477646.00,0.10871663,0.035172634,-0.020251475
1421631477647.00,0.027712055,-0.049029328,-0.04476614
1421631477670.00,-0.05222672,-0.11404615,-0.05222672
1421631477688.00,-0.035173167,-0.06075363,-0.040502686
1421631477718.00,0.05542411,0.059687298,-0.006395315
1421631477739.00,0.10232131,0.10445291,-0.003197924
1421631477756.00,0.059687298,0.046897203,-0.007461112
1421631477766.00,0.003197391,-0.027712587,-0.005329518
1421631477789.00,-0.021317273,-0.050095126,-0.017053818
1421631477822.00,0.015987223,0.011724034,-0.008526909
1421631477838.00,0.05116039,0.06608235,0.003197391
1421631477855.00,0.046897203,0.038370293,-0.019185679
1421631477873.00,-0.050095126,0.008526376,-0.021317273
1421631477886.00,-0.06608315,0.001065797,-0.004263721
1421631477907.00,0.028777853,0.02557993,-0.03090998
1421631477926.00,0.058621503,0.022382537,-0.05542464
1421631477946.00,0.001065797,-0.035173167,-0.049029328
1421631477968.00,-0.03837109,-0.075675584,-0.037305295
1421631477996.00,0.22702569,-0.045831937,-0.062885754
1421631478006.00,-0.005329518,0.17373317,0.02131674
1421631478027.00,-0.16200967,-0.13429762,0.037304495
1421631478051.00,-0.105519235,-0.1332313,-0.026646258
1421631478069.00,-0.01811988,-0.015988022,0.045831405
1421631478091.00,0.046897203,0.052226186,0.10765083
1421631478119.00,0.03943609,0.05116039,0.1065845
1421631478130.00,-0.015988022,0.005328985,0.095925994
1421631478148.00,-0.06608315,-0.039436888,0.07674085
1421631478166.00,-0.058622036,-0.045831937,0.070345536
1421631478186.00,0.001065797,-0.003197924,0.07993824
1421631478207.00,0.06288496,0.044765607,0.06288496
1421631478228.00,0.023448335,0.030909447,0.02557993
1421631478248.00,-0.057556238,-0.037305295,0.008526376
1421631478266.00,-0.06608315,-0.049029328,0.005328985
1421631478287.00,0.002131594,0.00959244,0.005328985
1421631478306.00,0.057555705,0.05542411,0.014921425
1421631478326.00,0.018119348,0.031975243,0.005328985
1421631478352.00,-0.057556238,-0.035173167,-0.00106633
1421631478370.00,-0.05542464,-0.04796353,-0.014922224
1421631478387.00,-0.002132127,-0.00106633,-0.019185679
1421631478408.00,0.024514131,0.024514131,-0.01279063
1421631478427.00,0.002131594,0.011724034,-0.02238307
1421631478446.00,-0.035173167,-0.015988022,-0.03837109
1421631478468.00,-0.049029328,-0.013856427,-0.040502686
1421631478487.00,-0.019185679,-0.002132127,-0.03090998
1421631478507.00,0.028777853,0.03410684,-0.021317273
1421631478527.00,0.070345536,0.06501655,-0.009593239
1421631478546.00,0.041567683,0.030909447,-0.009593239
1421631478568.00,-0.01811988,-0.03837109,-0.021317273
1421631478587.00,-0.024514664,-0.05542464,-0.03090998
1421631478606.00,0.011724034,-0.025580462,-0.020251475
1421631478627.00,0.011724034,-0.03090998,-0.015988022
1421631478647.00,-0.009593239,-0.050095126,-0.01811988
1421631478667.00,-0.005329518,-0.023448868,-0.007461112
1421631478688.00,-0.010659036,0.022382537,0
1421631478706.00,-0.029844182,-0.019185679,-0.010659036
1421631478726.00,-0.029844182,-0.04263428,-0.023448868
1421631478746.00,0.046897203,0.015987223,-0.019185679
1421631478769.00,0.06927974,0.06501655,-0.020251475
1421631478788.00,0.003197391,0.011724034,-0.017053818
1421631478808.00,-0.045831937,-0.025580462,-0.01811988
1421631478826.00,0.001065797,0.012789832,-0.002132127
1421631478846.00,0.08633356,0.07993824,0.018119348
1421631478866.00,0.07247766,0.08313616,0.030909447
1421631478887.00,-0.004263721,0.010658237,0.030909447
1421631478908.00,-0.025580462,-0.034107372,0.014921425
1421631478929.00,0.011724034,-0.017053818,0.011724034
1421631479004.00,0.059687298,0.027712055,0.026645726
1421631479005.00,0.050094593,0.037304495,0.03943609
1421631479006.00,0.00959244,0.02131674,0.023448335
1421631479007.00,0.003197391,-0.01279063,0.005328985
1421631479028.00,0.005328985,-0.013856427,0.005328985
1421631479046.00,0.03410684,0.02557993,0.003197391
1421631479067.00,0.031975243,0.049028795,0
1421631479087.00,-0.010659036,0.013855628,0.003197391
1421631479106.00,-0.041568484,-0.033041574,-0.00106633
1421631479126.00,-0.002132127,-0.027712587,-0.014922224
1421631479146.00,0.046897203,0.00959244,-0.007461112
1421631479168.00,0.038370293,0.02557993,-0.002132127
1421631479188.00,-0.002132127,-0.017053818,0.004263188
1421631479208.00,-0.01811988,-0.035173167,0.01705302
1421631479230.00,-0.007461112,-0.004263721,0.024514131
1421631479249.00,0.020250943,0.027712055,0.015987223
1421631479266.00,0.024514131,0.01705302,0.001065797
