time_milisec,ax,ay,az
1421109334807.00,-0.99812436,2.8868966,9.507479
1421109334821.00,-1.0615925,3.0097911,9.323063
1421109334856.00,-1.1304492,2.7649004,9.267379
1421109334860.00,-0.9818083,2.7649004,9.46377
1421109334882.00,-1.0572515,2.6851163,9.683363
1421109334890.00,-1.1201206,2.530937,9.61286
1421109334909.00,-0.9449849,2.470313,9.629775
1421109334933.00,-1.019979,2.5634193,9.72812
1421109334953.00,-1.2939093,2.7440937,9.859996
1421109334973.00,-1.2120296,2.7848089,9.641002
1421109334992.00,-1.2298425,3.011288,9.452543
1421109335013.00,-1.3711487,3.2210019,9.823622
1421109335033.00,-1.5925384,3.3477883,9.970167
1421109335063.00,-1.5567627,3.3711398,9.850566
1421109335072.00,-1.1744577,3.5645375,9.59834
1421109335093.00,-1.1972104,3.427273,9.382639
1421109335110.00,-1.2660671,3.3841627,9.386531
1421109335132.00,-1.1461666,3.3341665,9.514664
1421109335153.00,-1.0370435,3.1244526,9.456435
1421109335171.00,-1.0312057,3.3135095,9.35345
1421109335190.00,-0.8096663,3.0937665,9.207204
1421109335210.00,-0.6459068,3.0567935,9.0181465
1421109335230.00,-0.68961596,3.0340407,9.075328
1421109335249.00,-0.6816824,2.8738737,9.264235
1421109335272.00,-0.61537033,2.8223808,9.355246
1421109335290.00,-0.626597,2.8056157,9.4877205
1421109335309.00,-0.703537,2.7660978,9.405242
1421109335330.00,-0.75937086,2.802472,9.419911
1421109335358.00,-1.0509645,2.9231215,9.551638
1421109335372.00,-1.1298505,2.9026139,9.586964
1421109335393.00,-1.0976673,2.9864397,9.585916
1421109335411.00,-0.98105985,2.9644353,9.552086
1421109335430.00,-1.1822416,3.1090348,9.494007
1421109335450.00,-1.3085788,3.421435,9.517209
1421109335470.00,-1.2952565,3.254233,9.24253
1421109335493.00,-1.2563374,3.3524287,9.347611
1421109335512.00,-1.3611195,3.4081128,9.394614
1421109335530.00,-1.2820839,3.4618511,9.367071
1421109335561.00,-1.3132192,3.4271233,9.42081
1421109335571.00,-1.3629158,3.5567536,9.196426
1421109335592.00,-1.1365864,3.3557217,9.145232
1421109335610.00,-0.9780661,3.2242951,9.244177
1421109335630.00,-0.8244855,2.9392877,9.262139
1421109335650.00,-1.0265652,2.9521608,9.3613825
1421109335672.00,-1.031954,3.0710137,9.462722
1421109335692.00,-0.99183744,3.1078372,9.4402685
1421109335712.00,-0.8963361,3.1389725,9.28579
1421109335732.00,-0.95501405,3.2486944,9.279802
1421109335752.00,-1.0467732,3.3576677,9.204209
1421109335772.00,-1.063688,3.264711,9.389824
1421109335792.00,-1.1265574,3.3928444,9.400152
1421109335812.00,-1.0325528,3.1496003,9.423354
1421109335833.00,-1.0063573,3.171455,9.449999
1421109335852.00,-1.1623329,3.182382,9.553733
1421109335872.00,-0.891546,3.14017,9.49745
1421109335892.00,-0.98570025,2.976261,9.375304
1421109335913.00,-0.95621157,3.1537917,9.407038
1421109335930.00,-0.9665401,3.1328351,9.178762
1421109335951.00,-0.9849518,2.9939241,9.298813
1421109335972.00,-1.0138417,3.0720615,9.320068
1421109335991.00,-0.90052736,3.0505064,9.394165
1421109336011.00,-0.79394895,2.9591963,9.387578
1421109336030.00,-1.0523117,3.0895753,9.492062
1421109336050.00,-0.9755214,2.892435,9.575887
1421109336070.00,-1.1391312,3.145858,9.639954
1421109336093.00,-0.95321774,3.049309,9.604477
1421109336111.00,-1.1042536,3.0440698,9.512718
1421109336132.00,-1.1618838,3.0053005,9.55508
1421109336150.00,-1.0831475,3.1055918,9.629476
1421109336194.00,-0.8849597,3.2033386,9.523496
1421109336195.00,-1.016087,3.1039453,9.298364
1421109336242.00,-0.9235794,2.973267,9.414073
1421109336243.00,-0.9798624,2.8355534,9.203462
1421109336258.00,-1.001717,2.9755125,9.12727
1421109336296.00,-0.9621991,2.8388467,9.279503
