time_milisec,ax,ay,az
1421714715106.00,-0.9406439,4.8572493,8.936866
1421714715107.00,-0.9134006,4.8267126,8.918903
1421714715145.00,-0.9451346,4.9527507,8.842861
1421714715151.00,-0.9298663,4.9320936,8.747659
1421714715175.00,-0.80397815,4.763694,8.687783
1421714715189.00,-0.87268525,4.7430367,8.618777
1421714715208.00,-1.0900333,4.9388294,8.772358
1421714715227.00,-1.0023156,4.8493156,8.917556
1421714715248.00,-0.9032217,4.858746,8.935219
1421714715268.00,-0.9086105,4.8062053,9.041947
1421714715287.00,-0.75877213,4.799619,8.801996
1421714715307.00,-0.7072792,4.862189,8.679701
1421714715327.00,-0.6180647,4.907994,8.47343
1421714715348.00,-0.5936655,4.7767167,8.448132
1421714715367.00,-0.6264473,4.929848,8.533455
1421714715387.00,-0.64036834,4.796476,8.780591
1421714715406.00,-0.7949968,4.862189,8.853788
1421714715429.00,-0.8053253,4.944817,8.678204
1421714715448.00,-0.74634796,4.955146,8.697663
1421714715468.00,-0.7056326,4.82821,8.556208
1421714715487.00,-0.712668,4.9003596,8.447384
1421714715507.00,-0.7325766,4.7892904,8.629854
1421714715528.00,-0.7123686,4.905449,8.592881
1421714715547.00,-0.7421567,4.7825546,8.6788025
1421714715567.00,-0.7336244,4.574038,8.865614
1421714715589.00,-0.655936,4.6815147,9.059311
1421714715607.00,-0.72239774,4.8470707,8.972342
1421714715630.00,-0.6870712,4.9127836,8.820707
1421714715651.00,-0.7789801,4.7354026,8.672067
1421714715673.00,-0.68302965,4.832401,8.68449
1421714715689.00,-0.91205335,4.8791037,8.726852
1421714715707.00,-0.88436097,4.894372,8.73284
1421714715727.00,-0.7319778,4.78959,8.634046
1421714715750.00,-0.73601943,4.898713,8.7769985
1421714715774.00,-0.8611592,5.0027466,8.94944
1421714715787.00,-0.755479,4.824168,8.996891
1421714715807.00,-0.78781176,4.8773074,8.737929
1421714715826.00,-0.89229447,4.9385304,8.647517
1421714715847.00,-0.77972853,4.8919773,8.605604
1421714715867.00,-0.8089178,4.8738647,8.729996
1421714715887.00,-0.73601943,4.8705716,8.696765
1421714715907.00,-0.7048842,4.815486,8.714877
1421714715927.00,-0.62225604,4.770879,8.748557
1421714715947.00,-0.82493454,4.711153,8.821007
1421714715966.00,-0.71730834,4.8556027,8.803942
1421714715987.00,-0.75592804,4.8433285,8.743767
1421714716007.00,-0.45610154,4.905,8.800948
1421714716027.00,-0.6312373,4.9374824,8.71817
1421714716047.00,-0.7209009,4.844975,8.676407
1421714716067.00,-0.56342834,4.821773,8.779693
1421714716087.00,-0.45879593,4.8460226,8.553962
1421714716106.00,-0.5525011,4.816983,8.648266
1421714716127.00,-0.55774015,4.5993357,8.625962
1421714716147.00,-0.6225554,4.8331494,8.7999
1421714716167.00,-0.599653,4.8608418,8.945996
1421714716187.00,-0.6445596,4.876709,8.922646
1421714716210.00,-0.81011534,5.0868716,8.753797
1421714716229.00,-0.67225206,5.146747,8.663384
1421714716250.00,-0.655936,5.1332755,8.731343
1421714716270.00,-0.70967424,4.8942223,8.680449
1421714716290.00,-0.58618104,4.8644342,8.6523075
1421714716309.00,-0.6303392,4.839287,8.715177
1421714716329.00,-0.56028485,4.9044013,8.672516
1421714716349.00,-0.5517526,4.9496074,8.835377
1421714716369.00,-0.5761519,4.7744713,8.844508
1421714716389.00,-0.56881714,4.8117437,8.766969
1421714716409.00,-0.5616321,4.746629,8.933872
