time_milisec,ax,ay,az
1421716064965.00,-1.206042,4.296665,9.317075
1421716064991.00,-1.2368779,4.31822,8.878338
1421716065011.00,-1.3656102,4.546196,8.594078
1421716065019.00,-1.2111315,4.6518764,8.464298
1421716065039.00,-1.3046869,4.729265,8.549621
1421716065058.00,-1.3501923,4.811594,8.872649
1421716065079.00,-1.4217435,4.69813,8.77595
1421716065099.00,-1.26472,4.6955853,8.643026
1421716065119.00,-1.3037888,4.483776,8.494386
1421716065139.00,-1.3039384,4.6445417,8.768616
1421716065162.00,-1.1856843,4.597689,8.925939
1421716065179.00,-1.0168355,4.496799,8.8388195
1421716065198.00,-1.2343332,4.555327,8.614137
1421716065220.00,-1.1693683,4.4667115,8.632099
1421716065239.00,-1.1928694,4.5358677,8.625513
1421716065259.00,-1.099763,4.749324,8.754695
1421716065278.00,-1.3409115,4.643045,8.938961
1421716065299.00,-1.1711645,4.629573,8.908126
1421716065318.00,-1.2557387,4.644991,9.109457
1421716065338.00,-1.3183086,4.5934978,8.88657
1421716065361.00,-1.2391232,4.447701,8.894803
1421716065380.00,-1.2338841,4.6720843,8.867559
1421716065398.00,-1.1856843,4.482728,8.893307
1421716065418.00,-1.0657837,4.4840755,8.796457
1421716065439.00,-1.1488609,4.676725,8.782387
1421716065459.00,-1.1039543,4.6292734,8.812474
1421716065478.00,-1.155597,4.485722,8.7999
1421716065498.00,-1.2711567,4.5069776,8.947793
1421716065518.00,-1.3467494,4.4421625,8.860075
1421716065538.00,-1.2689112,4.545448,8.845106
1421716065559.00,-1.2189152,4.497547,8.7913685
1421716065579.00,-1.201701,4.590803,8.807684
1421716065598.00,-1.1346405,4.5393105,8.903485
1421716065618.00,-1.2970527,4.700675,8.735535
1421716065641.00,-1.2885205,4.6608577,8.735834
1421716065660.00,-1.3494438,4.659361,8.865764
1421716065680.00,-1.2244537,4.665049,8.912915
1421716065700.00,-1.2645704,4.577032,8.8388195
1421716065720.00,-1.2006532,4.615951,8.744066
1421716065740.00,-1.2274475,4.59245,8.678952
1421716065760.00,-1.1793975,4.5012894,8.888217
1421716065780.00,-1.0557545,4.4364743,8.827892
1421716065800.00,-1.1114388,4.550088,8.8757925
1421716065820.00,-1.074765,4.483177,9.01171
1421716065840.00,-1.1811937,4.660109,8.9683
1421716065860.00,-1.0229727,4.5840673,8.893157
1421716065880.00,-1.1765534,4.524791,8.920849
1421716065900.00,-1.2760963,4.5934978,8.934022
1421716065920.00,-1.1323951,4.485273,8.827443
1421716065940.00,-1.2102333,4.5503874,8.697214
1421716065960.00,-1.2118798,4.584217,8.645123
1421716065980.00,-1.2368779,4.5120673,8.854986
1421716065999.00,-1.0690769,4.384682,9.068892
1421716066018.00,-1.0711725,4.607419,8.702902
1421716066039.00,-1.2504996,4.567003,8.58884
1421716066058.00,-1.1823912,4.509672,8.79571
1421716066079.00,-1.1855347,4.474645,9.047485
1421716066099.00,-1.2269984,4.4152184,8.960815
1421716066118.00,-1.1961626,4.521348,8.830287
1421716066139.00,-1.1319461,4.5529323,8.676557
1421716066158.00,-1.0650352,4.6014314,8.702454
1421716066178.00,-1.2235556,4.535269,8.926238
1421716066199.00,-1.2293935,4.4869194,9.01665
1421716066219.00,-1.2272978,4.57793,8.865614
1421716066239.00,-1.1885284,4.6078677,8.794362
1421716066261.00,-0.9142987,4.635261,8.849747
1421716066278.00,-1.1388317,4.5888577,8.771909
1421716066299.00,-1.1561956,4.55892,8.831335
1421716066319.00,-1.1394305,4.6208906,8.80993
1421716066338.00,-1.2033477,4.736151,8.756491
1421716066358.00,-1.1573932,4.5942464,8.889713
1421716066378.00,-1.2268487,4.584217,8.85304
1421716066398.00,-1.2735516,4.810247,8.85289
1421716066418.00,-1.2558883,4.7554607,8.742869
1421716066437.00,-1.2713063,4.6533732,8.793164
1421716066458.00,-1.2076886,4.618496,8.730595
1421716066478.00,-1.1258088,4.609514,8.762628
1421716066498.00,-1.1891272,4.4161167,8.770112
1421716066518.00,-0.9891431,4.559818,8.773256
1421716066538.00,-1.0343491,4.6065207,8.844358
1421716066558.00,-0.9592053,4.540957,8.931926
1421716066580.00,-1.0292597,4.4867697,8.996592
1421716066600.00,-1.1499088,4.622388,8.951236
1421716066620.00,-1.2403207,4.7870455,8.737181
1421716066640.00,-1.2322376,4.6526246,8.897049
1421716066660.00,-1.2963043,4.614155,8.751551
1421716066680.00,-1.1644286,4.5777802,8.871451
1421716066700.00,-1.1135345,4.6647496,8.802445
1421716066720.00,-1.144969,4.6369076,8.779992
1421716066740.00,-1.1362871,4.535718,8.731343
1421716066760.00,-1.1222163,4.338877,8.790021
1421716066780.00,-1.2213103,4.69349,8.875194
1421716066808.00,-1.3724959,4.601581,8.915011
1421716066823.00,-1.2301419,4.7099557,8.824749
1421716066870.00,-1.3810282,4.5849657,8.747659
1421716066871.00,-1.0644364,4.858896,8.668922
1421716066879.00,-1.2645704,4.6027784,8.522228
1421716066904.00,-1.3591735,4.802613,8.900043
1421716066918.00,-1.2766951,4.6562176,8.95902
1421716066938.00,-1.2145743,4.630022,8.925639
1421716066958.00,-1.1573932,4.5021877,8.813822
1421716066983.00,-1.0726694,4.4721003,8.986862
1421716066999.00,-1.1187735,4.4036922,8.678054
1421716067080.00,-1.0981164,4.574487,8.865165
1421716067081.00,-1.2383748,4.526587,8.834628
1421716067081.00,-1.2433145,4.5128155,9.013356
1421716067086.00,-1.2642709,4.4247985,8.9955435
1421716067130.00,-1.2623249,4.5205994,8.828791
