time_milisec,gx,gy,gz
1421375126093.00,0.023448335,-0.073543996,-0.1300339
1421375126112.00,0.123638056,-0.08953201,-0.15668015
1421375126138.00,0.09912392,-0.01279063,-0.13216549
1421375126146.00,-0.007461112,0.112979814,-0.037305295
1421375126168.00,-0.035173167,0.14602113,0.027712055
1421375126187.00,0.047962997,0.071411334,0.036238696
1421375126205.00,0.13429682,-0.028778385,0.026645726
1421375126225.00,0.13003337,-0.074609786,0.029843649
1421375126245.00,0.05542411,-0.058622036,0.01705302
1421375126265.00,0.007460579,0.010658237,-0.002132127
1421375126288.00,-0.008526909,0.047962997,-0.008526909
1421375126305.00,-0.034107372,-0.00106633,-0.03090998
1421375126325.00,-0.010659036,-0.043700077,-0.057556238
1421375126346.00,0.02557993,-0.05222672,-0.075675584
1421375126365.00,0.02131674,-0.01279063,-0.074609786
1421375126385.00,-0.01811988,0.001065797,-0.07141213
1421375126406.00,-0.017053818,-0.013856427,-0.06075363
1421375126425.00,0.02557993,-0.051160924,-0.054358847
1421375126445.00,0.08313616,-0.033041574,-0.069280535
1421375126465.00,0.11084822,0.028777853,-0.07034633
1421375126485.00,0.063950755,0.057555705,-0.043700077
1421375126507.00,0.023448335,0.027712055,-0.03090998
1421375126527.00,0.03304104,-0.04796353,-0.03837109
1421375126545.00,0.059687298,-0.06395155,-0.023448868
1421375126566.00,0.06608235,-0.036239497,0.001065797
1421375126585.00,0.049028795,0,0.014921425
1421375126605.00,0.008526376,0.006394783,0.019185146
1421375126626.00,0.012789832,-0.011724833,0.02131674
1421375126645.00,0.037304495,-0.037305295,0.03304104
1421375126666.00,0.058621503,-0.007461112,0.030909447
1421375126686.00,0.028777853,0.023448335,0.018119348
1421375126705.00,-0.027712587,0.020250943,0.003197391
1421375126727.00,-0.03837109,-0.007461112,-0.015988022
1421375126745.00,-0.01811988,-0.05649044,-0.049029328
1421375126765.00,0,-0.07887298,-0.04476614
1421375126785.00,-0.004263721,-0.03090998,-0.037305295
1421375126806.00,-0.034107372,0.036238696,-0.04263428
1421375126826.00,-0.07034633,0.060753096,-0.035173167
1421375126846.00,-0.05542464,-0.009593239,-0.021317273
1421375126866.00,-0.010659036,-0.07887298,-0.021317273
1421375126886.00,0.030909447,-0.040502686,-0.024514664
1421375126906.00,0.02131674,0.008526376,-0.019185679
1421375126926.00,-0.01279063,0.012789832,0.012789832
1421375126946.00,-0.009593239,-0.011724833,0.023448335
1421375126966.00,0.008526376,-0.024514664,0.018119348
1421375126987.00,0.024514131,0.012789832,0.019185146
1421375127007.00,0.041567683,0.022382537,0.019185146
1421375127026.00,-0.004263721,-0.011724833,0.013855628
1421375127046.00,-0.07887298,-0.021317273,-0.008526909
1421375127067.00,-0.07887298,-0.014922224,-0.05222672
1421375127086.00,0.013855628,-0.005329518,-0.034107372
1421375127106.00,0.060753096,-0.01279063,0.019185146
1421375127127.00,0.046897203,0.011724034,0.053291984
1421375127151.00,0.014921425,0.05116039,0.04369928
1421375127167.00,-0.021317273,0.050094593,0
1421375127187.00,-0.025580462,0.028777853,-0.025580462
1421375127206.00,-0.007461112,-0.003197924,-0.020251475
1421375127226.00,0.024514131,-0.02238307,-0.021317273
1421375127245.00,0.024514131,-0.01279063,-0.029844182
1421375127266.00,-0.026646258,0.018119348,-0.041568484
1421375127285.00,-0.049029328,0.007460579,-0.061819427
1421375127306.00,-0.023448868,-0.013856427,-0.05649044
1421375127327.00,0.005328985,-0.013856427,-0.04796353
1421375127346.00,-0.015988022,0.02131674,-0.01811988
1421375127367.00,-0.04263428,0.03943609,0
1421375127385.00,-0.062885754,0.023448335,0.002131594
1421375127406.00,-0.05649044,-0.014922224,-0.006395315
1421375127425.00,-0.027712587,-0.04263428,-0.008526909
1421375127445.00,-0.035173167,-0.021317273,-0.003197924
1421375127466.00,-0.053292517,0.010658237,0.03410684
1421375127488.00,-0.040502686,0.026645726,0.056489907
1421375127506.00,-0.035173167,-0.013856427,0.06821394
1421375127525.00,-0.033041574,-0.024514664,0.06501655
1421375127546.00,0,-0.013856427,0.05116039
1421375127566.00,0.011724034,0.005328985,0.040501885
1421375127586.00,-0.026646258,-0.002132127,0.029843649
1421375127606.00,-0.026646258,0.005328985,0.018119348
1421375127626.00,0.027712055,-0.01279063,0.003197391
1421375127646.00,0.057555705,-0.026646258,0.020250943
1421375127666.00,0.03304104,-0.036239497,0.007460579
1421375127686.00,0.011724034,-0.024514664,-0.019185679
1421375127706.00,0.044765607,-0.006395315,-0.034107372
1421375127726.00,0.058621503,-0.02238307,-0.039436888
1421375127746.00,-0.005329518,-0.03837109,-0.050095126
1421375127766.00,-0.03090998,-0.04796353,-0.051160924
1421375127787.00,0.007460579,-0.036239497,-0.02238307
1421375127806.00,0.04369928,-0.049029328,0.011724034
1421375127826.00,0.00959244,-0.051160924,0.014921425
1421375127852.00,-0.024514664,-0.058622036,0.011724034
1421375127866.00,-0.011724833,-0.062885754,0.010658237
1421375127886.00,0.028777853,-0.04796353,0.024514131
1421375127908.00,0.004263188,-0.023448868,0.02131674
