time_milisec,ax,ay,az
1421106073145.00,-1.0461745,3.267555,9.151968
1421106073160.00,-1.1558963,3.231031,9.255703
1421106073183.00,-1.0092014,3.1907647,9.387428
1421106073202.00,-0.75368273,3.2024405,9.285192
1421106073213.00,-0.8596623,3.1591804,9.24268
1421106073233.00,-0.79290116,3.339256,9.161399
1421106073253.00,-0.83975375,3.099754,9.5699
1421106073273.00,-0.89169574,3.139721,9.512419
1421106073296.00,-0.8267308,3.075654,9.402248
1421106073313.00,-0.9533675,3.0753548,9.493258
1421106073334.00,-0.93286014,3.328628,9.392219
1421106073354.00,-0.8909473,3.231031,9.433084
1421106073376.00,-0.9104068,3.2106733,9.438922
1421106073393.00,-0.90052736,3.3895514,9.611813
1421106073415.00,-0.97207856,3.4393978,9.439521
1421106073433.00,-0.8659493,3.2070808,9.314231
1421106073454.00,-0.9096584,3.3208442,9.376202
1421106073474.00,-0.84858537,3.3992813,9.421557
1421106073493.00,-0.9313632,3.3973353,9.233549
1421106073522.00,-0.9880952,3.5378928,9.324709
1421106073540.00,-0.94902647,3.3756304,9.253457
1421106073553.00,-0.748743,3.2169602,9.356294
1421106073574.00,-0.7668553,3.114723,9.257798
1421106073594.00,-0.558788,3.1680121,9.252858
1421106073616.00,-0.54860914,3.2871642,9.183403
1421106073636.00,-0.8069719,3.288212,9.227411
1421106073654.00,-0.7402107,3.3443453,9.301806
1421106073676.00,-0.7788304,3.1501992,9.1765175
1421106073694.00,-0.84065187,3.514691,9.234896
1421106073714.00,-0.9610016,3.5810032,9.204359
1421106073733.00,-1.0008187,3.306624,9.208101
1421106073755.00,-0.8571176,3.310815,9.213041
1421106073773.00,-0.8532257,3.3816178,9.268576
1421106073794.00,-0.8652008,3.50571,9.28624
1421106073813.00,-0.9054671,3.2823744,9.458082
1421106073835.00,-0.8262817,3.263214,9.506881
1421106073853.00,-0.83511335,3.3919463,9.454041
1421106073874.00,-0.7924521,3.2747402,9.109906
1421106073893.00,-0.7614665,3.3274305,9.289982
1421106073915.00,-1.0770104,3.2991395,9.4491005
1421106073934.00,-0.91504717,3.2431557,9.267229
1421106073954.00,-0.7547305,3.1522949,9.351503
1421106073973.00,-0.77972853,3.25558,9.319171
1421106073993.00,-0.79828995,3.3983831,9.363329
1421106074014.00,-0.84364563,3.2268398,9.31498
1421106074033.00,-0.8452922,3.1644197,9.37695
1421106074053.00,-0.8446934,3.1886692,9.357192
1421106074073.00,-0.7171587,3.195405,9.528436
1421106074093.00,-0.99812436,3.3905993,9.518556
1421106074113.00,-0.9647438,3.2157629,9.331445
1421106074133.00,-0.79933774,3.153193,9.257948
1421106074153.00,-0.78631485,3.1647189,9.392967
1421106074173.00,-0.9291179,3.3069232,9.411229
1421106074193.00,-0.86579955,3.268154,9.472602
1421106074213.00,-0.6012996,3.2165112,9.370963
1421106074233.00,-0.49187714,3.1234047,9.43009
1421106074254.00,-0.5718109,2.9653335,9.672735
1421106074274.00,-0.80218184,3.0575418,9.599538
1421106074296.00,-0.7623646,3.3160543,9.499097
1421106074315.00,-0.6170169,3.291206,9.477541
1421106074335.00,-0.68497556,2.9906309,9.37695
1421106074356.00,-0.7197034,3.2284863,9.398655
1421106074374.00,-0.8467891,3.401826,9.423953
1421106074394.00,-0.88705534,3.284021,9.426797
1421106074415.00,-0.780477,3.2269895,9.39147
1421106074434.00,-0.7066805,3.2793806,9.368568
1421106074453.00,-0.8000862,3.1927106,9.4176655
1421106074474.00,-0.8418494,3.1717544,9.505234
1421106074495.00,-0.66162413,3.1066396,9.474997
1421106074519.00,-0.6234535,3.0936167,9.327553
1421106074537.00,-0.83915496,3.201692,9.48802
1421106074600.00,-0.84065187,3.080145,9.404044
1421106074601.00,-0.56208116,3.1633718,9.382789
1421106074604.00,-0.7020401,3.0789473,9.348061
1421106074675.00,-0.8044272,3.2588732,9.202264
1421106074676.00,-0.757874,3.2198043,9.447903
1421106074677.00,-0.8457413,3.1997461,9.547895
1421106074677.00,-0.7298822,3.1500494,9.402248
1421106074707.00,-0.6328839,3.1615756,9.433383
