time_milisec,P1,P2,P3,P4,P5,P6,P7,P8(kPa)
1421631480565.00,0,0,0,0,0,0,0,0
1421631480578.00,0,0,0,0,0,0,0,0
1421631480581.00,0,0,0,0,10,0,0,0
1421631480591.00,1.6,0,1.7,0,0,6.4,6.8,4.9
1421631480610.00,0,0,6.7,1.6,1.7,0,6.8,4.9
1421631480650.00,7.8,0,3.3,0,8.3,1.6,12,4.9
1421631480686.00,4.7,0,0,6.2,3.3,1.6,12,1.6
1421631480732.00,0,0,22.9,6.2,1.7,0,6.8,0
1421631480735.00,6.2,0,24.6,9.4,3.3,0,6.8,4.9
1421631480739.00,0,11.9,16.3,6.2,1.7,0,1.7,6.5
1421631480754.00,6.2,13.6,31.3,6.2,0,11.3,6.8,4.9
1421631480783.00,6.2,11.9,24.6,6.2,6.6,1.6,6.8,11.4
1421631480818.00,10.9,15.3,24.6,0,1.6,0,0,4.9
1421631480860.00,6.2,11.9,22.9,4.7,13.2,3.2,17.1,6.5
1421631480891.00,6.2,15.3,28,7.8,4.9,3.2,8.5,0
1421631480930.00,6.2,17.1,21.3,6.2,4.9,1.6,10.2,6.5
1421631480958.00,6.2,11.9,16.3,4.7,4.9,4.8,8.5,6.5
1421631480961.00,4.6,11.9,22.9,6.2,4.9,4.8,10.2,6.5
1421631480997.00,4.6,10.2,13,4.7,6.6,1.6,11.9,6.5
1421631481003.00,6.2,11.9,24.6,0,6.6,1.6,10.2,4.9
1421631481038.00,6.2,11.9,22.9,10.9,13.2,3.2,0,6.5
1421631481068.00,3.1,5.1,24.6,12.4,14.9,6.4,5,0
1421631481092.00,6.2,22.3,21.3,12.4,6.6,0,15.3,1.6
1421631481127.00,3.1,11.9,19.6,12.4,6.6,8,13.5,6.5
1421631481163.00,4.6,11.9,14.7,17.2,8.2,3.2,13.5,6.5
1421631481200.00,10.9,11.9,22.9,10.9,4.9,1.6,13.5,3.2
1421631481212.00,15.6,11.9,22.9,0,6.6,0,6.7,6.5
1421631481263.00,4.6,11.9,24.6,12.4,9.9,1.6,5,8.1
1421631481267.00,4.6,10.2,24.6,14,9.9,0,11.8,0
1421631481285.00,6.2,18.8,22.9,12.4,3.3,8,13.5,6.5
1421631481310.00,4.6,0,19.6,14,8.2,14.4,13.5,6.5
1421631481345.00,4.6,25.2,21.3,0,4.9,6.4,13.5,6.5
1421631481368.00,10.9,23.5,22.9,18.6,4.9,19.2,10.1,4.9
1421631481405.00,15.6,25.2,22.9,4.6,6.6,12.8,11.8,8.1
1421631481429.00,4.6,23.5,21.3,24.9,6.6,8,15.3,6.5
1421631481466.00,7.8,23.5,22.9,18.6,6.6,8,15.3,0
1421631481490.00,4.6,25.2,21.3,12.3,9.9,8,13.5,4.9
1421631481526.00,3.1,23.5,19.6,18.6,3.3,0,18.7,6.5
1421631481593.00,4.6,25.2,21.3,18.6,6.6,6.4,13.5,6.5
1421631481619.00,9.3,23.5,22.9,17,6.6,25.8,10.1,4.9
1421631481623.00,4.6,25.2,22.9,10.8,6.6,8,18.7,11.4
1421631481649.00,4.6,23.5,22.9,21.7,4.9,8,10.1,6.5
1421631481663.00,17.2,21.8,22.9,18.6,4.9,9.6,3.4,6.5
1421631481668.00,6.2,18.4,22.9,18.6,1.6,1.6,11.8,6.5
1421631481714.00,7.8,15,28,20.1,13.2,12.8,13.5,6.5
1421631481725.00,0,23.5,26.3,0,4.9,8,13.5,6.5
1421631481751.00,9.3,25.2,24.6,26.1,23.3,9.6,15.3,6.5
1421631481781.00,9.3,16.7,24.6,27.7,11.6,14.4,15.3,8.1
1421631481808.00,7.7,23.5,22.9,27.7,3.3,9.6,13.5,1.6
1421631481853.00,9.3,21.8,22.9,27.7,3.3,9.6,15.3,13
1421631481863.00,1.5,16.7,22.9,26.1,6.6,9.6,15.3,6.5
1421631481885.00,7.7,23.5,34.7,30.9,8.2,12.8,15.3,6.5
1421631481939.00,9.3,23.5,28,26.1,6.6,11.2,15.3,13
1421631481948.00,7.7,23.5,24.6,29.3,26.7,11.2,17,6.5
1421631481954.00,9.3,20.1,13,26.1,4.9,9.6,15.3,8.1
1421631482023.00,9.3,23.5,22.9,27.7,3.3,11.2,17,0
1421631482029.00,21.8,21.8,24.6,27.7,14.9,9.6,18.7,14.7
1421631482034.00,7.7,23.5,24.6,27.7,8.2,11.2,17,6.5
1421631482072.00,7.7,23.5,31.3,30.9,8.2,12.8,17,6.5
1421631482094.00,9.3,23.5,21.3,26.1,8.2,11.2,13.5,6.5
1421631482155.00,7.7,21.8,24.6,27.7,23.3,11.2,17,6.5
1421631482172.00,9.3,20.1,24.6,26.1,9.9,16,20.4,9.7
1421631482191.00,7.7,25.2,24.6,27.7,14.9,11.2,27.4,6.5
1421631482215.00,7.7,20.1,22.9,27.7,1.6,16,18.7,14.7
1421631482284.00,1.5,16.7,13,26.1,8.2,11.2,8.4,6.5
1421631482328.00,12.4,21.8,29.7,29.3,8.2,20.9,17,6.5
1421631482334.00,6.2,20.1,21.3,21.5,8.2,11.2,18.7,6.5
1421631482351.00,15.5,20.1,21.3,30.9,6.6,11.2,20.4,6.5
1421631482357.00,15.5,23.5,22.9,26.1,9.9,12.8,17,6.5
1421631482409.00,6.2,28.7,24.6,27.7,3.3,9.6,13.5,0
1421631482443.00,9.3,20.1,26.3,21.5,6.6,17.6,18.7,17.9
1421631482469.00,6.2,20.1,16.3,27.7,8.2,12.8,20.4,3.2
1421631482482.00,17.1,21.8,24.6,27.7,6.6,11.2,15.3,9.7
1421631482486.00,7.7,20.1,31.3,18.3,8.2,11.2,22.1,6.5
1421631482502.00,15.5,18.4,22.9,26.1,0,30.7,29.1,9.7
1421631482527.00,6.2,23.5,22.9,26.1,4.9,9.6,18.7,9.7
1421631482585.00,6.2,18.4,24.6,27.7,0,11.2,17,8.1
1421631482668.00,4.6,23.5,19.6,26.1,11.5,16,17,9.7
1421631482674.00,3.1,25.2,22.9,26.1,11.5,12.8,13.5,9.7
1421631482695.00,7.7,16.7,31.3,32.5,8.2,17.6,17,9.7
1421631482698.00,6.2,18.4,21.3,24.6,13.1,8,22.1,9.7
1421631482714.00,3.1,11.7,24.6,27.7,14.8,27.4,17,9.7
1421631482753.00,7.7,20.1,22.9,26.1,11.5,8,17,8.1
1421631482757.00,18.7,15,24.6,26.1,0,11.2,18.7,11.3
1421631482779.00,3.1,15,22.9,24.6,13.1,12.8,17,9.7
1421631482855.00,3.1,15,28,29.3,13.1,11.2,29.1,8.1
1421631482860.00,4.6,15,21.3,26.1,11.5,4.8,15.3,9.7
1421631482878.00,4.6,15,11.4,24.6,11.5,20.9,20.4,8.1
1421631482902.00,0,11.7,22.9,26.1,13.1,27.4,17,9.7
1421631482936.00,10.8,16.7,22.9,26.1,11.5,9.6,18.7,29.6
1421631482961.00,7.7,15,22.9,24.6,6.5,12.8,25.6,11.3
1421631482966.00,6.1,15,22.9,29.3,19.8,12.8,20.4,4.8
1421631482999.00,6.1,15,29.7,35.6,13.1,19.2,23.9,3.2
1421631483022.00,4.6,11.7,21.3,27.7,13.1,14.4,15.3,9.7
1421631483048.00,4.6,18.4,24.6,19.9,6.5,14.4,27.4,11.3
1421631483089.00,4.6,3.3,14.7,27.7,0,14.4,22.1,9.7
1421631483112.00,4.6,18.4,24.6,27.7,24.4,20.9,20.4,9.7
1421631483144.00,0,8.3,21.3,26.1,24.4,6.4,20.4,9.7
1421631483172.00,24,8.3,22.9,51.7,26,12.8,20.4,9.7
1421631483212.00,21,8.3,22.9,32.5,34.4,12.8,20.4,9.7
1421631483257.00,33.2,10,22.9,23,26,12.8,22.1,3.2
1421631483344.00,25.5,10,29.7,26.1,24.4,12.8,29.1,9.7
1421631483358.00,25.5,10,16.3,24.6,24.4,0,18.7,9.7
1421631483372.00,27.1,18.4,22.9,26.1,24.4,25.3,20.4,22.9
1421631483388.00,25.5,11.7,21.3,26.1,32.7,23.7,18.7,6.5
1421631483407.00,25.5,10,21.3,24.6,24.4,30.1,20.4,8.1
1421631483428.00,21,10,26.3,27.7,24.4,25.3,25.6,9.7
1421631483464.00,28.6,10,22.9,26.1,19.4,18.9,11.8,8.1
1421631483475.00,25.5,10,22.9,18.3,27.7,25.3,29.1,13
1421631483501.00,21,0,22.9,26.1,26,22.1,18.7,3.2
1421631483505.00,25.5,13.3,28,26.1,37.8,23.7,18.7,8.1
1421631483545.00,25.5,10,14.7,26.1,24.4,22.1,18.7,13
1421631483559.00,24,10,21.3,26.1,22.7,26.9,18.7,9.7
1421631483667.00,27.1,8.3,22.9,26.1,24.4,23.7,20.4,11.3
1421631483712.00,28.6,11.7,24.6,19.9,19.4,18.9,10.1,8.1
1421631483719.00,25.5,11.7,24.6,21.5,31,23.7,27.4,9.7
1421631483861.00,21,3.3,22.9,26.1,32.7,26.9,10.1,1.6
1421631483873.00,25.5,21.8,21.3,26.1,34.4,23.7,18.7,8.1
1421631483880.00,30.1,5,19.6,26.1,24.4,30.1,17,8.1
1421631483896.00,25.5,11.7,21.3,19.9,41.1,36.7,20.4,9.7
1421631483920.00,31.7,13.3,22.9,26.1,24.4,23.7,18.7,9.7
1421631483947.00,24,16.7,22.9,13.7,24.4,23.7,18.7,14.6
1421631483957.00,28.6,18.4,21.3,34,27.7,25.3,25.6,8.1
1421631483969.00,30.1,20.1,24.6,27.7,24.4,23.7,17,16.3
1421631483988.00,31.7,23.5,22.9,26.1,21.1,20.5,18.7,9.7
1421631484001.00,31.7,25.2,21.3,27.7,26,28.5,18.7,8.1
1421631484013.00,34.8,26.9,22.9,24.6,41.1,22.1,18.7,8.1
1421631484020.00,42.6,26.9,19.6,26.1,22.7,22.1,27.4,11.3
1421631484038.00,33.2,26.9,22.9,15.3,26,26.9,17,8.1
1421631484049.00,45.8,23.5,21.3,26.1,26,22.1,22.1,8.1
1421631484072.00,34.8,32.1,28,26.1,22.7,23.7,13.5,8.1
1421631484093.00,33.2,25.2,22.9,26.1,21.1,14.1,17,0
1421631484116.00,33.2,25.2,21.3,26.1,32.7,31.8,15.3,17.7
1421631484121.00,33.2,25.2,24.6,19.9,21.1,40,17,17.7
1421631484156.00,36.4,25.2,21.3,32.5,22.7,22.1,17,17.7
1421631484160.00,33.2,23.5,22.9,18.3,24.4,22.1,22.1,22.6
1421631484198.00,33.2,15,14.7,18.3,22.7,22.1,15.3,11.2
1421631484234.00,34.8,30.4,31.3,26.1,29.4,22.1,6.7,16
1421631484269.00,36.4,25.2,22.9,26.1,21.1,14.1,18.7,17.7
1421631484273.00,36.4,18.4,29.7,26.1,26,30.1,15.3,17.7
1421631484304.00,33.2,25.2,24.6,26.1,22.7,20.5,15.3,17.7
1421631484341.00,36.4,25.2,22.9,27.7,24.4,40,13.5,14.4
1421631484344.00,34.8,25.2,21.3,24.6,22.7,22.1,22.1,24.2
1421631484375.00,34.8,25.2,21.3,32.5,24.4,22.1,15.3,11.2
1421631484398.00,34.8,26.9,28,27.7,24.4,20.5,6.7,16
1421631484435.00,34.8,25.2,13,21.5,21.1,20.5,15.3,17.7
1421631484457.00,33.2,20.1,22.9,27.7,21.1,22.1,18.7,19.3
1421631484494.00,27.1,23.5,21.3,6.1,22.7,20.5,15.3,17.7
1421631484522.00,31.7,28.7,24.6,26.1,22.7,23.7,13.5,16
1421631484583.00,28.6,23.5,22.9,24.6,24.4,22.1,17,22.6
1421631484587.00,34.8,39.1,24.6,26.1,24.4,20.5,15.3,17.7
1421631484607.00,33.2,28.7,24.6,26.1,22.7,22.1,10.1,17.7
1421631484640.00,36.4,25.2,19.6,18.3,12.9,20.5,15.3,17.7
1421631484644.00,36.4,23.5,26.3,26.1,29.4,18.9,15.3,16
1421631484677.00,34.8,26.9,22.9,26.1,41.1,15.7,15.3,17.7
1421631484715.00,36.4,26.9,22.9,26.1,22.7,22.1,15.3,16
1421631484751.00,34.8,25.2,22.9,27.7,19.4,20.5,13.5,16
1421631484756.00,36.4,39.1,24.6,26.1,22.7,22.1,15.3,17.7
1421631484809.00,37.9,26.9,22.9,26.1,22.7,20.5,10.1,20.9
1421631484817.00,36.4,25.2,19.6,24.6,14.5,20.5,15.3,17.7
1421631484852.00,34.8,23.5,26.3,27.7,9.6,23.7,15.3,17.7
1421631484887.00,33.2,26.9,19.6,15.3,21.1,17.3,13.5,17.7
1421631484922.00,37.9,26.9,22.9,26.1,24.4,20.5,13.5,17.7
1421631484958.00,27.1,26.9,22.9,30.9,21.1,20.5,15.3,17.7
1421631484993.00,34.8,28.7,22.9,29.3,24.4,22.1,27.4,16
1421631484997.00,34.8,23.5,24.6,30.9,22.7,20.5,10.1,19.3
1421631485000.00,36.4,37.3,21.3,30.9,22.7,20.5,15.3,25.8
