time_millisec,ax,ay,az
1421714476122.00,-1.2624747,3.2633638,9.409284
1421714476142.00,-1.2502002,3.2226484,9.2890835
1421714476165.00,-1.1530522,3.2778835,9.35345
1421714476181.00,-1.1247611,3.3498838,9.3536
1421714476202.00,-1.2921131,3.322491,9.288035
1421714476222.00,-1.1852353,3.4088612,9.398655
1421714476244.00,-1.3251942,3.453169,9.442365
1421714476263.00,-1.194965,3.3605118,9.403445
1421714476283.00,-1.2584331,3.2248938,9.505084
1421714476303.00,-1.2099339,3.3513808,9.365125
1421714476324.00,-1.1467652,3.2418087,9.489217
1421714476345.00,-1.1934682,3.2653098,9.38713
1421714476363.00,-1.1228151,3.2744408,9.416918
1421714476383.00,-1.1250604,3.2706985,9.330847
1421714476405.00,-1.26951,3.3141084,9.389075
1421714476425.00,-1.3091775,3.3337176,9.451944
1421714476449.00,-1.203198,3.3874557,9.589508
1421714476462.00,-1.2735516,3.2879128,9.403146
1421714476482.00,-1.4191988,3.2835717,9.404643
1421714476502.00,-1.2153227,3.337759,9.369466
1421714476523.00,-1.250799,3.3606615,9.386082
1421714476543.00,-1.1166779,3.4452355,9.330697
1421714476562.00,-1.2072395,3.4069152,9.432784
1421714476582.00,-1.3227992,3.2823744,9.518107
1421714476602.00,-1.2998968,3.3702416,9.550889
1421714476623.00,-1.2588822,3.3335679,9.571096
1421714476642.00,-1.3028907,3.3639545,9.481882
1421714476663.00,-1.0988649,3.4024246,9.355096
1421714476684.00,-1.2020004,3.2591724,9.316925
1421714476703.00,-1.2930112,3.2792308,9.442814
1421714476722.00,-1.2002041,3.39988,9.291029
1421714476743.00,-1.2611275,3.3856595,9.63202
1421714476763.00,-1.5081139,3.2777338,9.417068
1421714476783.00,-1.3500426,3.2614179,9.479188
1421714476804.00,-1.2765454,3.2590227,9.467512
1421714476824.00,-1.2663666,3.2439044,9.457334
1421714476843.00,-1.1307486,3.425327,9.43488
1421714476863.00,-1.1852353,3.4173934,9.454788
1421714476885.00,-1.2204121,3.2614179,9.39132
1421714476902.00,-1.1805949,3.3673975,9.363179
1421714476923.00,-1.2235556,3.328628,9.279353
1421714476942.00,-1.2358301,3.3548236,9.351803
1421714476963.00,-1.3976436,3.4611025,9.469757
1421714476983.00,-1.2314891,3.4347575,9.534123
1421714477003.00,-1.22146,3.233426,9.32411
1421714477022.00,-1.311872,3.2187567,9.26199
1421714477042.00,-1.1443703,3.3597634,9.445059
1421714477062.00,-1.2831317,3.3676968,9.434581
1421714477082.00,-1.2425661,3.3202455,9.466314
1421714477102.00,-1.3480966,3.2967443,9.576036
1421714477122.00,-1.2570859,3.3943415,9.441466
1421714477143.00,-1.3474978,3.1885195,9.364377
1421714477162.00,-1.257535,3.2795303,9.30031
1421714477185.00,-1.1615845,3.182981,9.430839
1421714477207.00,-1.1569442,3.1867232,9.406289
1421714477223.00,-1.2617263,3.3711398,9.328451
1421714477242.00,-1.3341756,3.4512231,9.271121
1421714477264.00,-1.2228072,3.2618668,9.499695
1421714477315.00,-1.2463083,3.2256422,9.379046
1421714477316.00,-1.1741583,3.3123121,9.330248
1421714477327.00,-1.2772938,3.3766782,9.311986
1421714477342.00,-1.3587245,3.4419425,9.4015
1421714477367.00,-1.2199631,3.2915053,9.335337
1421714477381.00,-1.2699591,3.1677127,9.479338
1421714477402.00,-1.3049862,3.2507899,9.5217
1421714477422.00,-1.2705579,3.343597,9.388177
1421714477443.00,-1.2338841,3.2528856,9.332343
1421714477461.00,-1.370999,3.3684454,9.279653
1421714477522.00,-1.3177098,3.264711,9.339079
1421714477526.00,-1.2633728,3.3766782,9.476045
1421714477527.00,-1.2225078,3.3314722,9.49745
1421714477544.00,-1.2261003,3.4039216,9.341325
1421714477594.00,-1.2374767,3.3540752,9.355994
1421714477595.00,-1.2623249,3.2094758,9.3823395
1421714477605.00,-1.2918136,3.3150065,9.32426
1421714477646.00,-1.2744498,3.3639545,9.433832
1421714477647.00,-1.2513977,3.2991395,9.546698
1421714477662.00,-1.241668,3.3557217,9.435779
1421714477695.00,-1.2966037,3.235372,9.5528345
1421714477703.00,-1.3169614,3.1909144,9.495504
1421714477723.00,-1.2660671,3.3633559,9.442365
1421714477756.00,-1.2966037,3.3635056,9.409433
1421714477763.00,-1.2442126,3.372936,9.229807
1421714477781.00,-1.2766951,3.3374598,9.383088
1421714477808.00,-1.1096425,3.3852105,9.35315
1421714477865.00,-1.2741504,3.3837135,9.518406
1421714477866.00,-1.3304334,3.179538,9.544453
1421714477866.00,-1.1352392,3.2650104,9.264983
1421714477881.00,-1.303639,3.2956965,9.405392
1421714477910.00,-1.3136683,3.2780333,9.35345
1421714477923.00,-1.228645,3.2452514,9.267529
1421714477951.00,-1.2106824,3.1850767,9.407487
1421714477961.00,-1.223406,3.2368689,9.36767
1421714477991.00,-1.2295432,3.2365694,9.464668
