time_milisec,ax,ay,az
1421632145030.00,-0.8551717,3.7799397,9.281449
1421632145039.00,-0.74515045,3.706592,9.122929
1421632145057.00,-0.79290116,3.8106258,9.086105
1421632145077.00,-0.8469388,3.8175116,9.225316
1421632145097.00,-0.8704399,3.6229162,9.17517
1421632145117.00,-0.86445236,3.7275486,9.3309965
1421632145137.00,-0.91923845,3.6598892,9.354946
1421632145157.00,-0.7680528,3.8130207,9.306297
1421632145177.00,-0.69036436,3.7968545,9.177266
1421632145199.00,-0.7481442,3.6154318,9.347911
1421632145218.00,-0.7418573,3.5943255,9.411678
1421632145237.00,-0.93076444,3.7486546,9.298513
1421632145257.00,-0.9321117,3.5682797,8.739576
1421632145277.00,-0.771346,3.7823346,9.33414
1421632145298.00,-0.8364606,3.5076559,9.452394
1421632145317.00,-0.78721297,3.5226247,9.4491005
1421632145337.00,-0.68841845,3.5149906,9.456735
1421632145357.00,-0.70263886,3.4167948,9.421857
1421632145378.00,-0.80502594,3.456163,9.3613825
1421632145397.00,-0.85936296,3.6051033,9.25675
1421632145418.00,-0.6730005,3.4895434,9.1853485
1421632145437.00,-0.84169966,3.5447786,9.202414
1421632145457.00,-0.8017328,3.4718802,9.2256155
1421632145477.00,-0.6759943,3.3828154,9.207054
1421632145497.00,-0.57959473,3.4284704,9.167536
1421632145518.00,-0.7710466,3.7101846,9.537117
1421632145537.00,-0.82523394,3.773054,9.579479
1421632145557.00,-0.74006104,3.6025584,9.352851
1421632145577.00,-0.771346,3.6086957,9.220526
1421632145598.00,-0.7354207,3.6401303,9.328601
1421632145617.00,-0.6596782,3.6000137,9.201665
1421632145637.00,-0.65773225,3.5398388,9.102122
1421632145657.00,-0.71341646,3.6054025,9.219478
1421632145678.00,-0.72045183,3.695964,9.397458
1421632145697.00,-0.77149564,3.5904336,9.269324
1421632145718.00,-0.798739,3.6438725,9.394015
1421632145738.00,-0.8547226,3.6690202,9.309141
1421632145758.00,-0.6927594,3.6872823,9.228459
1421632145778.00,-0.89738387,3.4636474,9.296867
1421632145798.00,-0.87927157,3.5420842,9.338481
1421632145818.00,-0.7746391,3.5964212,9.363628
1421632145838.00,-0.8158035,3.6699183,9.268875
1421632145858.00,-0.77044785,3.6432738,9.196426
1421632145878.00,-0.70428544,3.6860847,9.152567
1421632145898.00,-0.68781966,3.6356397,9.251661
1421632145918.00,-0.6797365,3.7631745,9.330098
1421632145938.00,-0.7882608,3.7077897,9.352851
1421632145958.00,-0.76760375,3.6149826,9.259595
1421632145978.00,-0.74365354,3.5052607,9.234596
1421632145998.00,-0.69320846,3.594026,9.327553
1421632146018.00,-0.7089258,3.5802548,9.315878
1421632146038.00,-0.7961943,3.6971617,9.484577
1421632146059.00,-0.74230635,3.6024086,9.465866
1421632146078.00,-0.771346,3.7190163,9.371712
1421632146098.00,-0.6996451,3.6567457,9.251512
1421632146118.00,-0.6734496,3.5925293,9.253457
1421632146138.00,-0.82209045,3.514392,9.216484
1421632146158.00,-0.7499405,3.4802628,9.28609
1421632146178.00,-0.75053924,3.5486705,9.55014
1421632146198.00,-0.6572832,3.6360886,9.45434
1421632146218.00,-0.60010207,3.630251,9.36273
1421632146248.00,-0.57285875,3.5096018,9.09853
1421632146259.00,-0.658331,3.68354,8.873548
1421632146278.00,-0.76221496,3.5645375,8.889863
1421632146297.00,-0.73946226,3.4480796,9.005274
1421632146317.00,-0.79394895,3.2850688,9.427246
1421632146337.00,-0.74515045,3.4097593,9.452843
1421632146359.00,-0.7997868,3.6760557,9.301806
1421632146378.00,-0.62839323,3.5528617,9.393716
1421632146398.00,-0.63527894,3.4058676,9.480086
1421632146419.00,-0.8497829,3.6139348,9.5809765
1421632146438.00,-0.7961943,3.5925293,9.416319
1421632146458.00,-0.6939569,3.4738262,9.433084
1421632146480.00,-0.71326673,3.6265087,9.347162
1421632146498.00,-0.68527496,3.5576518,9.238638
1421632146517.00,-0.59635985,3.5130446,9.214239
1421632146537.00,-0.70293826,3.6477644,9.355096
1421632146558.00,-0.66716266,3.507057,9.413325
1421632146577.00,-0.6391708,3.595074,9.373208
1421632146597.00,-0.6593788,3.4227822,9.501042
1421632146617.00,-0.6439609,3.4890945,9.303903
1421632146637.00,-0.7455995,3.5554066,9.29043
1421632146657.00,-0.660726,3.4754727,9.22786
1421632146677.00,-0.66686326,3.5414855,9.282048
1421632146697.00,-0.64919996,3.5197806,9.418714
1421632146717.00,-0.6752458,3.548371,9.436227
1421632146737.00,-0.69216067,3.4019756,9.340726
1421632146757.00,-0.6915619,3.4462833,9.3188715
1421632146778.00,-0.78062665,3.5519636,9.24223
1421632146797.00,-0.7243437,3.4034724,9.054371
1421632146818.00,-0.78377014,3.4359548,9.402846
1421632146836.00,-0.8903485,3.577261,9.629925
1421632146860.00,-0.64725405,3.4215848,9.655222
1421632146895.00,-0.86954176,3.2189062,9.309141
1421632146912.00,-0.84334624,3.4459841,9.421108
1421632146927.00,-0.6237529,3.061284,9.496851
1421632146940.00,-0.26554778,3.3783247,9.380393
1421632146959.00,-0.5783972,3.9948926,9.195977
1421632146977.00,-0.42526567,3.7226088,9.676777
1421632146998.00,0.32721955,3.2698004,9.29552
1421632147018.00,0.12918137,3.5096018,10.016121
1421632147036.00,-0.05733078,3.4880466,9.624236
1421632147058.00,-0.31674135,3.2004945,9.41093
1421632147076.00,-0.47705796,3.1385233,10.166858
1421632147097.00,-0.7342232,3.739823,10.166409
1421632147117.00,-0.7427554,4.011957,9.669891
1421632147136.00,-0.47601014,4.8562016,8.196206
1421632147158.00,-0.18486556,4.2450223,8.122858
1421632147177.00,0.034428407,3.9880068,8.896899
1421632147196.00,0.5173242,3.688779,9.549392
1421632147217.00,1.1728112,3.9252872,8.602012
1421632147236.00,0.20746857,3.6365378,8.585397
1421632147256.00,-0.015567627,3.6052527,8.722362
1421632147276.00,0.2706372,3.5744169,9.548643
1421632147296.00,0.07110214,3.3462913,9.604029
1421632147318.00,0.023650818,3.4593062,9.527088
1421632147338.00,0.24099883,3.231929,9.106314
1421632147357.00,-0.02005829,3.3175511,9.136401
1421632147381.00,0.041613463,2.981051,8.623867
1421632147403.00,-0.022602998,3.4024246,9.636211
1421632147416.00,-0.23306534,3.6862345,9.824969
1421632147437.00,-0.3158432,3.3434472,9.92571
1421632147457.00,-0.3582051,3.6178267,9.497001
1421632147476.00,-0.18785934,3.6173775,9.079519
1421632147528.00,-0.2257306,3.7428167,9.03566
1421632147529.00,-0.27153534,3.824397,9.210048
1421632147649.00,-0.48394364,3.896547,9.352252
1421632147650.00,-0.51657575,3.7368293,9.481283
1421632147650.00,-0.50235534,3.654201,9.375604
1421632147651.00,-0.55654263,3.7773948,8.927585
1421632147652.00,-0.71221894,3.9534287,9.045839
1421632147652.00,-0.8577164,4.032614,9.34836
1421632147657.00,-0.9286688,3.8317318,9.509275
1421632147685.00,-0.72269714,3.6827917,9.257798
1421632147772.00,-0.5427713,3.7145257,9.125772
1421632147775.00,-0.6316864,3.7570372,9.272318
1421632147777.00,-0.7493417,3.7779937,9.485325
1421632147778.00,-0.65264285,3.6977606,9.302555
1421632147778.00,-0.5987549,3.4883459,8.9988365
1421632148020.00,-0.7291338,3.4612522,9.09359
1421632148021.00,-0.6053412,3.685037,9.219927
1421632148022.00,-0.47840515,3.575914,9.158405
1421632148022.00,-0.6182144,3.9016366,9.114696
1421632148023.00,-0.75203615,3.9592667,9.143287
1421632148024.00,-0.69829786,3.7353323,9.101673
1421632148025.00,-0.93091416,3.7297938,9.0953865
1421632148026.00,-0.8044272,3.9926472,9.207802
1421632148027.00,-0.92178315,3.8993912,9.335037
1421632148028.00,-1.0108479,3.8929546,9.470805
1421632148029.00,-0.96668977,3.800896,9.312435
1421632148030.00,-0.8966354,3.9643562,9.414073
1421632148040.00,-0.9500743,4.2448726,9.355096
1421632148061.00,-1.1626323,4.21269,9.000783
1421632148128.00,-1.4741346,4.6758265,7.806267
1421632148129.00,-1.5223343,4.244274,9.078771
1421632148130.00,-1.0951227,4.3761497,8.975186
1421632148138.00,-1.3239968,4.237089,8.914562
1421632148167.00,-1.2253518,4.179309,8.967552
1421632148223.00,-1.0984159,4.28005,8.972042
1421632148225.00,-1.1478131,4.262087,9.015303
1421632148226.00,-1.2145743,4.263883,9.051677
1421632148236.00,-1.008902,4.051625,9.095087
1421632148257.00,-0.789608,4.076772,9.027278
1421632148277.00,-0.93735075,3.9893541,8.96381
1421632148297.00,-0.9505234,3.9457946,9.100775
1421632148316.00,-0.9286688,3.7986507,9.197773
1421632148337.00,-0.86295545,3.9305265,9.388626
1421632148357.00,-0.8247849,3.8214033,9.400152
1421632148376.00,-0.93630296,3.73638,9.292227
1421632148399.00,-0.8879535,3.9752834,9.265732
1421632148418.00,-0.9063652,4.0131545,9.179811
1421632148438.00,-0.8009843,4.036506,9.270372
1421632148457.00,-0.9136999,4.020489,9.253457
1421632148477.00,-0.8042775,4.033512,9.250014
1421632148497.00,-0.79544586,3.807632,9.222173
1421632148518.00,-0.85532135,3.645519,9.120384
