time_milisec,ax,ay,az
1421631472996.00,-0.86415297,4.148623,9.161998
1421631473007.00,-0.72928345,4.176465,9.29552
1421631473026.00,-0.7592212,4.25101,9.423803
1421631473046.00,-0.65234345,4.240532,9.156159
1421631473065.00,-0.6873706,4.263135,8.851843
1421631473085.00,-0.6569838,4.186195,8.835526
1421631473108.00,-0.6090834,4.2102947,9.127569
1421631473127.00,-0.5161267,3.985013,9.004226
1421631473145.00,-0.4326004,4.1608973,8.923095
1421631473165.00,-0.47825545,4.1917334,9.004974
1421631473186.00,-0.42496628,4.1781116,8.986413
1421631473206.00,-0.46373567,4.321513,8.7913685
1421631473227.00,-0.48080018,4.318819,8.839868
1421631473247.00,-0.31150222,4.219725,8.913664
1421631473265.00,-0.45161086,4.042643,9.10766
1421631473286.00,-0.33275804,4.1275167,9.207354
1421631473306.00,-0.2800676,4.143384,9.200169
1421631473325.00,-0.5054988,4.080814,9.168883
1421631473346.00,-0.49277526,4.045038,9.145082
1421631473365.00,-0.35341507,3.9998324,9.167536
1421631473386.00,-0.3740721,3.990851,9.224268
1421631473406.00,-0.5575905,4.1962237,9.117391
1421631473425.00,-0.64575714,4.3065443,9.056467
1421631473446.00,-0.65114594,4.333638,9.379196
1421631473466.00,-0.8020322,4.2559495,9.209898
1421631473486.00,-0.70518357,4.3541455,8.898994
1421631473506.00,-0.6783893,4.48662,8.798703
1421631473525.00,-0.41358992,4.2930727,8.767867
1421631473545.00,-0.39098695,4.1863446,8.810978
1421631473569.00,-0.49696654,4.0444393,8.991352
1421631473586.00,-0.62554914,4.0641985,9.080268
1421631473605.00,-0.53992724,4.063899,9.278755
1421631473626.00,-0.48349458,4.0505767,9.4049425
1421631473645.00,-0.5556445,4.033512,9.270822
1421631473668.00,-0.5037025,4.0905437,9.213191
1421631473687.00,-0.59441394,4.1685314,9.18011
1421631473708.00,-0.606389,4.008814,9.056916
1421631473728.00,-0.60010207,4.0628514,8.96381
1421631473747.00,-0.6240523,4.2213717,9.020093
1421631473768.00,-0.7632628,4.147575,9.110504
1421631473788.00,-0.7033873,4.065246,9.1126
1421631473807.00,-0.85786605,4.1796083,8.992849
1421631473827.00,-0.8026309,4.197721,9.06485
1421631473848.00,-0.735271,4.330794,9.2311535
1421631473867.00,-0.85786605,4.126619,9.4015
1421631473888.00,-0.7038364,4.281996,9.078621
1421631473908.00,-0.4483177,4.1718245,8.8073845
1421631473927.00,-0.5201683,4.230802,8.975037
1421631473947.00,-0.76416093,4.1361985,9.334739
1421631473967.00,-0.712668,3.9966888,9.445209
1421631473987.00,-0.7659572,4.175417,9.302555
1421631474007.00,-0.64470935,4.1329055,8.941506
1421631474027.00,-0.60040146,4.223617,8.8967495
1421631474047.00,-0.79514647,4.157754,9.167236
1421631474068.00,-0.8837622,4.146677,9.21364
1421631474088.00,-0.7382648,4.2016125,9.29522
1421631474108.00,-0.62016034,4.057612,8.913065
1421631474127.00,-0.7276369,4.263434,8.931626
1421631474147.00,-0.7620653,4.175866,8.989407
1421631474168.00,-0.70278853,4.0770717,9.099876
1421631474187.00,-0.6462062,4.049529,8.927435
1421631474208.00,-0.72419405,4.0454874,9.188193
1421631474227.00,-0.6680608,4.043242,9.07892
1421631474248.00,-0.60579026,4.218827,9.043893
1421631474268.00,-0.76131684,4.1430845,9.010063
1421631474288.00,-0.7722441,4.1658373,9.115744
1421631474308.00,-0.6981482,4.164041,9.203611
1421631474328.00,-0.658331,4.146228,9.186247
1421631474349.00,-0.7291338,4.218677,9.137149
1421631474367.00,-0.6996451,4.2617874,9.172326
1421631474387.00,-0.65204406,4.229455,9.053923
1421631474406.00,-0.72105056,4.1007223,8.985814
1421631474425.00,-0.753533,4.143683,9.020392
1421631474445.00,-0.89678514,3.9978864,9.108259
1421631474465.00,-0.66596514,4.162245,9.22831
1421631474485.00,-0.5706134,4.199816,9.099577
1421631474505.00,-0.6417155,4.2492137,9.083411
1421631474525.00,-0.68811905,4.2718167,9.07413
1421631474548.00,-0.7310797,4.01525,9.070687
1421631474567.00,-0.789608,4.200415,9.096583
1421631474587.00,-0.6993457,4.129313,9.065149
1421631474607.00,-0.62195665,4.20775,9.059011
1421631474626.00,-0.64725405,4.13575,8.928034
1421631474647.00,-0.64066774,4.2221203,9.095835
1421631474667.00,-0.7075786,4.099076,9.05467
1421631474688.00,-0.80757064,4.114494,9.084608
1421631474707.00,-0.62599826,4.16943,9.041498
1421631474728.00,-0.6954538,4.1122484,8.998537
1421631474748.00,-0.678539,4.165987,9.118138
1421631474767.00,-0.72134995,4.1445813,9.226214
1421631474788.00,-0.7141649,4.195176,9.112451
1421631474808.00,-0.71341646,4.060007,9.187295
1421631474830.00,-0.66970736,4.027076,9.082513
1421631474850.00,-0.6227051,4.02962,9.0744295
1421631474876.00,-0.62315416,4.0487804,9.1130495
1421631474886.00,-0.6610254,4.006868,9.081016
1421631474907.00,-0.7023395,4.0781193,9.123977
1421631474926.00,-0.6192622,4.0002813,9.131611
1421631474946.00,-0.79828995,4.1117992,9.097033
1421631474968.00,-0.6987469,4.2059536,8.991202
1421631474991.00,-0.6984476,4.2546024,9.06006
1421631475010.00,-0.7262897,4.233347,9.285641
1421631475030.00,-0.63812304,4.1231756,9.500443
