time_milisec,ax,ay,az
1421375126094.00,-1.2436138,3.4914894,9.708661
1421375126114.00,-1.4187497,3.3816178,9.528735
1421375126139.00,-1.420995,3.2793806,9.544901
1421375126151.00,-1.5052698,3.1828313,9.337283
1421375126170.00,-1.5471826,3.3587155,9.487122
1421375126188.00,-1.3410612,3.3855097,9.450448
1421375126207.00,-1.3635145,3.5341506,9.332044
1421375126226.00,-1.0693762,3.4985247,9.105565
1421375126246.00,-1.0421329,3.542683,8.941207
1421375126269.00,-1.0826985,3.5161881,9.068742
1421375126289.00,-0.9722282,3.6396813,9.109906
1421375126306.00,-0.9036708,3.7028499,9.19433
1421375126326.00,-1.045426,3.6783009,9.2521105
1421375126347.00,-1.0385404,3.5938766,9.329649
1421375126366.00,-1.1238629,3.5654356,9.209748
1421375126388.00,-1.2748989,3.546126,9.332792
1421375126407.00,-1.1708652,3.50571,9.318123
1421375126426.00,-1.1943663,3.4042208,9.514365
1421375126446.00,-1.1421249,3.5000217,9.51152
1421375126466.00,-1.3082794,3.628305,9.353898
1421375126486.00,-1.4976356,3.5091527,9.156459
1421375126508.00,-1.5091617,3.5944753,9.136401
1421375126527.00,-1.4163547,3.497926,9.395811
1421375126546.00,-1.4922469,3.42862,9.23295
1421375126567.00,-1.479224,3.5467246,9.306297
1421375126586.00,-1.3780344,3.4727783,9.197024
1421375126608.00,-1.4093193,3.493136,9.2569
1421375126627.00,-1.3076806,3.6290534,9.365574
1421375126646.00,-1.2467574,3.59208,9.384435
1421375126667.00,-1.1750565,3.5977683,9.205707
1421375126687.00,-1.2424164,3.6507583,9.123228
1421375126706.00,-0.95890594,3.6329453,9.09344
1421375126728.00,-1.06758,3.5760636,9.020243
1421375126746.00,-1.3260924,3.6974611,9.270073
1421375126766.00,-1.1927197,3.5365458,9.293873
1421375126787.00,-1.2163706,3.4929862,9.239237
1421375126808.00,-1.1602373,3.5783088,9.228759
1421375126828.00,-1.2740006,3.489843,9.263337
1421375126848.00,-1.2183166,3.5380425,9.38189
1421375126868.00,-1.3476475,3.5199304,9.477691
1421375126888.00,-1.3187577,3.443589,9.465267
1421375126908.00,-1.213227,3.5188825,9.375753
1421375126928.00,-1.3606704,3.461402,9.331894
1421375126948.00,-1.2097843,3.4858012,9.307944
1421375126968.00,-1.214724,3.5298097,9.328751
1421375126989.00,-1.2719051,3.6239638,9.37725
1421375127009.00,-1.2222084,3.436853,9.150621
1421375127028.00,-1.2573853,3.5158887,9.108259
1421375127048.00,-1.1403286,3.6145334,9.221873
1421375127069.00,-1.2704082,3.6080968,9.4507475
1421375127088.00,-1.1141331,3.504662,9.43518
1421375127108.00,-1.145418,3.455115,9.335636
1421375127129.00,-1.1326946,3.4889448,9.267529
1421375127153.00,-0.9792636,3.5928288,9.179361
1421375127168.00,-1.1424243,3.5869908,9.147778
1421375127188.00,-1.225801,3.6052527,9.19463
1421375127208.00,-1.289269,3.503764,9.340876
1421375127227.00,-1.1409274,3.7598813,9.139095
1421375127247.00,-1.1716136,3.7266505,9.061108
1421375127268.00,-1.267564,3.5721717,9.163195
1421375127287.00,-1.2683126,3.7273989,9.249865
1421375127307.00,-1.2918136,3.4991236,9.3289
1421375127328.00,-1.253643,3.470533,9.406439
1421375127347.00,-1.2485536,3.3669484,9.222472
1421375127368.00,-1.3711487,3.4814603,9.259595
1421375127386.00,-1.477278,3.510949,9.124875
1421375127407.00,-1.361868,3.528313,9.157357
1421375127427.00,-1.4403049,3.469036,9.22801
1421375127447.00,-1.3606704,3.4323623,9.275461
1421375127467.00,-1.3219011,3.4564621,9.330847
1421375127490.00,-1.3319303,3.3880546,9.344468
1421375127507.00,-1.3760884,3.3941917,9.310638
1421375127526.00,-1.3078303,3.525768,9.486373
1421375127548.00,-1.1557466,3.5679803,9.5070305
1421375127567.00,-0.92028624,3.59702,9.391919
1421375127587.00,-1.0253677,3.6151323,9.514515
1421375127608.00,-0.9116043,3.610941,9.425599
1421375127628.00,-0.98031145,3.6083963,9.520652
1421375127648.00,-1.113235,3.6425254,9.490564
1421375127667.00,-0.99557966,3.7064424,9.307345
1421375127687.00,-1.0828482,3.499872,9.448651
1421375127707.00,-1.1617341,3.4088612,9.427995
1421375127727.00,-1.214724,3.4139507,9.314381
1421375127748.00,-1.1743081,3.4775684,9.21858
1421375127767.00,-1.1740086,3.4980757,9.178613
1421375127788.00,-1.3027409,3.3747323,9.320368
1421375127812.00,-1.4174025,3.3711398,9.259745
1421375127827.00,-1.2618759,3.4359548,9.202414
1421375127853.00,-1.0871892,3.3322206,9.170529
1421375127867.00,-1.1898756,3.460953,9.339378
1421375127888.00,-1.1529025,3.637436,9.430539
1421375127909.00,-1.2115805,3.5756145,9.089698
1421375127928.00,-1.1638298,3.5941758,9.232052
1421375127954.00,-1.0216255,3.539689,9.53113
1421375127974.00,-1.1190729,3.597918,9.562864
1421375127986.00,-1.2960049,3.5880387,9.372161
1421375128006.00,-1.0602452,3.541635,9.418264
1421375128026.00,-1.0912308,3.56334,9.302405
1421375128046.00,-0.96234876,3.5001714,9.23295
1421375128067.00,-1.0482701,3.3867073,9.164243
1421375128087.00,-1.0782079,3.386857,9.219028
1421375128107.00,-1.0330019,3.546126,9.255703
1421375128127.00,-0.89424044,3.4295182,9.407187
1421375128148.00,-1.0520123,3.5075061,9.720187
1421375128168.00,-1.0674303,3.3759298,9.561966
1421375128219.00,-1.1591895,3.416645,9.33429
1421375128220.00,-1.1428734,3.468138,9.443413
1421375128292.00,-1.0187814,3.6146832,9.421707
1421375128292.00,-1.0681787,3.654201,9.457633
1421375128293.00,-0.96324694,3.5952237,9.331295
1421375128294.00,-0.9466315,3.4811609,9.256302
1421375128350.00,-0.96938413,3.552263,9.32426
1421375128350.00,-0.9048683,3.6254609,9.35779
1421375128351.00,-1.0368937,3.4669404,9.372011
1421375128366.00,-0.9503737,3.3805702,9.452843
1421375128401.00,-0.7143146,3.4295182,9.535471
1421375128408.00,-0.93121356,3.4995725,9.407187
1421375128429.00,-0.81266004,3.441643,9.31977
1421375128493.00,-0.9466315,3.3187487,9.080866
1421375128494.00,-0.98105985,3.437751,9.155411
1421375128495.00,-1.2882211,3.3602123,9.350605
1421375128511.00,-1.3034893,3.508554,9.279802
1421375128546.00,-1.3965957,3.508554,9.163494
1421375128548.00,-1.2008029,3.5142422,9.419612
1421375128583.00,-1.0229727,3.4425411,9.502689
1421375128586.00,-0.848286,3.2865655,9.585617
1421375128617.00,-0.8137079,3.206033,9.406439
1421375128649.00,-0.97312635,3.267106,9.213191
1421375128649.00,-0.94393706,3.3323703,9.010962
1421375128681.00,-0.9713301,3.198249,8.866363
1421375128767.00,-1.0716215,3.3467405,8.801397
1421375128768.00,-1.1734099,3.341202,8.938512
1421375128768.00,-1.1482621,3.1741493,8.839718
1421375128774.00,-0.9713301,3.18343,8.855286
1421375128774.00,-0.9508228,3.19301,8.97294
1421375128803.00,-0.9568103,3.2650104,9.4612255
1421375128808.00,-0.37541932,3.203189,9.904603
1421375128859.00,-0.26779312,3.254532,10.068363
1421375128860.00,-0.15043716,3.257975,10.2370615
1421375128908.00,-0.1592688,3.2986903,10.070758
1421375128909.00,0.11765534,3.3022828,10.078093
1421375128910.00,0.33994308,3.1225066,10.167606
